,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,id35_id28_0008,1,1.0,1.0,0.555964,0.55532575,0.61065066
1,00289,0,0.0,0.0,0.44356212,0.44413403,0.60388166
2,id38_id29_0008,1,1.0,1.0,0.53214836,0.5317071,0.6107678
3,id17_id16_0000,1,1.0,1.0,0.5540288,0.5534077,0.61067134
4,00252,0,0.0,0.0,0.4785572,0.47890288,0.6075624
5,id11_id7_0009,1,1.0,1.0,0.5450688,0.54448444,0.61059433
6,id0_id1_0005,1,1.0,1.0,0.5385448,0.5379863,0.61074555
7,id20_id4_0001,1,1.0,1.0,0.5370803,0.5365887,0.61053604
8,id23_id6_0006,1,1.0,1.0,0.58425725,0.5838038,0.61074996
9,id6_id16_0001,1,1.0,1.0,0.5516125,0.5510162,0.6107528
10,00265,0,0.0,0.0,0.43015793,0.43067455,0.6069493
11,id29_0009,0,0.0,0.0,0.40464762,0.40491787,0.54266196
12,id58_id52_0005,1,0.0,0.0,0.46084395,0.4613496,0.61075586
13,id37_id29_0005,1,1.0,1.0,0.53132993,0.53088975,0.6102549
14,id56_0000,0,1.0,1.0,0.5320517,0.53159237,0.6103828
15,id3_id37_0006,1,0.0,0.0,0.4838011,0.4840747,0.61019135
16,id1_id6_0005,1,1.0,1.0,0.5452402,0.5446832,0.6108318
17,id30_id28_0004,1,1.0,1.0,0.54739493,0.54677886,0.6106668
18,id21_id0_0000,1,1.0,1.0,0.52133685,0.5210627,0.61054236
19,id6_id9_0000,1,1.0,1.0,0.53556,0.53508294,0.6106882
20,id37_id20_0004,1,0.0,0.0,0.44389862,0.4445405,0.6104197
21,id16_id31_0002,1,1.0,1.0,0.5843738,0.5838732,0.6106167
22,id4_id3_0001,1,1.0,1.0,0.53216344,0.5317366,0.6106963
23,id41_id48_0001,1,1.0,1.0,0.53574616,0.5352315,0.61078835
24,id0_id1_0007,1,1.0,1.0,0.5535957,0.55302876,0.61063385
25,id30_id26_0006,1,1.0,1.0,0.50266105,0.5026115,0.6104862
26,id26_id24_0009,1,1.0,1.0,0.54745764,0.5469051,0.6105984
27,id3_0008,0,0.0,0.0,0.4443769,0.44486916,0.5437672
28,id32_id29_0003,1,0.0,0.0,0.48858422,0.4887192,0.6105639
29,id28_id37_0008,1,1.0,1.0,0.5198823,0.51964045,0.61014956
30,id20_0008,0,0.0,0.0,0.47178814,0.47207227,0.60805994
31,id0_id9_0000,1,1.0,1.0,0.5736905,0.5731252,0.6107201
32,id33_id31_0009,1,0.0,0.0,0.4863659,0.4865369,0.61065775
33,id17_id1_0000,1,1.0,1.0,0.51416886,0.5139788,0.61073256
34,id40_0003,0,0.0,0.0,0.42299318,0.42357945,0.6014217
35,id45_id39_0008,1,1.0,1.0,0.5861196,0.5856554,0.6106373
36,id19_id24_0000,1,0.0,0.0,0.4365249,0.43718565,0.6097285
37,id21_id28_0006,1,1.0,1.0,0.5171924,0.51693684,0.61074764
38,id23_id3_0004,1,0.0,0.0,0.48215756,0.48240647,0.61058205
39,00119,0,0.0,0.0,0.47464198,0.4750157,0.59910625
40,id8_id5_0008,1,1.0,1.0,0.5076933,0.50757277,0.6104431
41,id30_id6_0007,1,1.0,1.0,0.53782976,0.53730893,0.6107234
42,id41_id44_0005,1,1.0,1.0,0.55961317,0.5589589,0.61081284
43,id3_id17_0000,1,1.0,1.0,0.51234674,0.51218945,0.61021787
44,id58_id57_0008,1,1.0,1.0,0.54015476,0.5396468,0.61055297
45,id56_id54_0000,1,1.0,1.0,0.5768443,0.57623947,0.6106196
46,id1_id4_0007,1,1.0,1.0,0.5561751,0.5555429,0.61047953
47,id9_id2_0000,1,0.0,0.0,0.46395412,0.46446052,0.61004525
48,id20_id0_0006,1,1.0,1.0,0.5198303,0.5194942,0.61064696
49,id28_id37_0007,1,1.0,1.0,0.54344624,0.54294646,0.6107569
50,id1_id0_0005,1,1.0,1.0,0.55880976,0.5581434,0.6108514
51,00254,0,1.0,1.0,0.5212365,0.5210432,0.6068396
52,id2_id9_0006,1,1.0,1.0,0.5419145,0.541386,0.6106543
53,id2_id3_0001,1,1.0,1.0,0.51765186,0.5173721,0.61079925
54,id20_id1_0001,1,1.0,1.0,0.5360145,0.53555703,0.61035866
55,id4_id6_0002,1,1.0,1.0,0.5467956,0.5462192,0.6106852
56,id33_id29_0004,1,1.0,1.0,0.5179788,0.51772904,0.61066484
57,id22_id21_0005,1,0.0,0.0,0.47012395,0.4704922,0.6097564
58,id26_id35_0003,1,1.0,1.0,0.5612719,0.56066686,0.61077976
59,id6_id1_0005,1,1.0,1.0,0.5394701,0.53893507,0.61068803
60,id27_0009,0,0.0,0.0,0.39168075,0.39169988,0.4297505
61,id9_id21_0008,1,0.0,0.0,0.46509376,0.4655442,0.61063427
62,id7_id12_0006,1,1.0,1.0,0.5239672,0.52361983,0.6105994
63,id24_id20_0009,1,1.0,1.0,0.51668674,0.51643384,0.610533
64,id28_0004,0,1.0,1.0,0.5265984,0.5261988,0.61037916
65,id29_id34_0008,1,0.0,0.0,0.49474353,0.4948024,0.6102194
66,id33_id38_0005,1,1.0,1.0,0.56262654,0.5620167,0.61060995
67,id28_id3_0004,1,1.0,1.0,0.532182,0.5317538,0.61056554
68,id52_id49_0007,1,1.0,1.0,0.60422385,0.6041413,0.610687
69,id28_id30_0006,1,1.0,1.0,0.5702929,0.56965953,0.6099074
70,id38_id30_0006,1,1.0,1.0,0.51349247,0.5133255,0.6101306
71,id4_id21_0002,1,1.0,1.0,0.54156333,0.54106486,0.6103094
72,id17_id3_0007,1,1.0,1.0,0.51398325,0.51376015,0.6107326
73,id21_id6_0005,1,1.0,1.0,0.52422917,0.5239277,0.6104107
74,id28_0007,0,1.0,1.0,0.5227437,0.5225251,0.609905
75,00257,0,0.0,0.0,0.39205468,0.3920565,0.39868087
76,id13_id10_0005,1,0.0,0.0,0.45257676,0.45315373,0.61082834
77,id6_id2_0002,1,1.0,1.0,0.5291336,0.5287346,0.61050045
78,id26_id27_0006,1,0.0,0.0,0.45023605,0.450806,0.6102193
79,id37_id35_0005,1,1.0,1.0,0.5099864,0.5097972,0.6106404
80,id10_id11_0004,1,0.0,0.0,0.4686503,0.46916434,0.6096021
81,00253,0,0.0,0.0,0.4418738,0.4424894,0.6043281
82,id26_id23_0003,1,0.0,0.0,0.46790332,0.4683254,0.61066884
83,id9_id1_0000,1,0.0,0.0,0.49919415,0.49917656,0.61065084
84,id0_id21_0000,1,1.0,1.0,0.5645192,0.5639296,0.61054426
85,id4_id20_0000,1,1.0,1.0,0.5232854,0.5229111,0.6107503
86,id57_id51_0004,1,1.0,1.0,0.505068,0.50494623,0.610733
87,id17_0000,0,1.0,1.0,0.5278835,0.52757514,0.6101278
88,id24_id26_0009,1,1.0,1.0,0.51248705,0.5123079,0.6104802
89,id9_id3_0000,1,0.0,0.0,0.4725907,0.4729695,0.61057544
90,id9_id16_0000,1,1.0,1.0,0.513859,0.5136712,0.6105023
91,id25_id21_0005,1,1.0,1.0,0.57521856,0.57463396,0.6107061
92,id51_0001,0,0.0,0.0,0.48877314,0.48887464,0.60879666
93,id3_id37_0004,1,1.0,1.0,0.5627946,0.56212395,0.6106205
94,id2_id21_0000,1,0.0,0.0,0.45140892,0.45198685,0.61001104
95,id6_id3_0005,1,1.0,1.0,0.53476036,0.53428894,0.6103641
96,id39_id47_0004,1,1.0,1.0,0.5204076,0.52014875,0.61029756
97,id26_id17_0006,1,0.0,0.0,0.45625183,0.45674098,0.60988516
98,id21_id19_0009,1,1.0,1.0,0.5015413,0.5015217,0.6107798
99,id27_id21_0008,1,0.0,0.0,0.48581114,0.48602712,0.6102442
100,id17_id2_0007,1,1.0,1.0,0.53913003,0.5386044,0.61056
101,id28_id3_0002,1,1.0,1.0,0.5457298,0.54523116,0.6104165
102,id31_id33_0009,1,1.0,1.0,0.507258,0.5071387,0.6106042
103,id34_id37_0008,1,1.0,1.0,0.53141534,0.5309768,0.6105302
104,id40_id42_0001,1,0.0,0.0,0.4204301,0.42106253,0.6098677
105,id17_id21_0000,1,1.0,1.0,0.5834816,0.58300394,0.6105316
106,id12_id10_0002,1,1.0,1.0,0.55119807,0.5505851,0.6108219
107,id0_id2_0002,1,0.0,0.0,0.44455948,0.44520038,0.6101736
108,id0_id16_0003,1,1.0,1.0,0.59370536,0.5934639,0.61065805
109,id46_id45_0001,1,0.0,0.0,0.4535381,0.4540758,0.6107494
110,00287,0,1.0,1.0,0.5187193,0.51843965,0.6103019
111,00278,0,0.0,0.0,0.40851822,0.4088382,0.50159943
112,id2_id16_0004,1,1.0,1.0,0.5520279,0.5514483,0.61072576
113,00047,0,1.0,1.0,0.5629126,0.5623224,0.61016047
