,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,id7_id13_0000,1,1.0,1.0,0.9999517,0.99954677,0.99999845
1,id34_id38_0003,1,1.0,1.0,0.9999883,0.9999386,0.99999785
2,id0_id9_0006,1,1.0,1.0,0.9999813,0.9998722,0.99999857
3,id2_id4_0003,1,1.0,1.0,0.9999931,0.9999902,0.99999857
4,id2_0002,0,1.0,1.0,0.99983096,0.9997015,0.9999665
5,00262,0,1.0,1.0,0.99265254,0.98912305,0.99881834
6,id9_id0_0006,1,1.0,1.0,0.9999641,0.9998667,0.999998
7,id4_id1_0007,1,1.0,1.0,0.9999585,0.9991451,0.99999774
8,00255,0,1.0,1.0,0.9987923,0.99819726,0.99978405
9,id30_id28_0006,1,1.0,1.0,0.99998796,0.99997413,0.9999982
10,id30_id4_0001,1,1.0,1.0,0.9999887,0.9999707,0.999998
11,id30_id29_0000,1,1.0,1.0,0.9999815,0.999919,0.9999975
12,id54_id56_0000,1,1.0,1.0,0.99994874,0.99922687,0.99999595
13,id28_id22_0006,1,1.0,1.0,0.99998665,0.9999678,0.999998
14,id11_id7_0007,1,1.0,1.0,0.99998784,0.99998134,0.99999845
15,id13_id7_0000,1,1.0,1.0,0.9999963,0.9999951,0.99999857
16,id21_id20_0006,1,1.0,1.0,0.99999654,0.9999959,0.9999988
17,id3_id28_0009,1,1.0,1.0,0.9999709,0.9973906,0.9999974
18,id48_id41_0001,1,1.0,1.0,0.9999472,0.99966055,0.9999963
19,id35_id30_0009,1,1.0,1.0,0.9999925,0.9999881,0.99999857
20,id31_id32_0008,1,1.0,1.0,0.9999931,0.9999913,0.9999981
21,id0_id1_0005,1,1.0,1.0,0.9999937,0.9999694,0.9999987
22,id45_id39_0008,1,1.0,1.0,0.9999763,0.9999335,0.99999595
23,id44_0003,0,1.0,1.0,0.99499834,0.98328876,0.9996736
24,id28_id4_0006,1,1.0,1.0,0.99998283,0.9999436,0.9999981
25,id9_id6_0000,1,1.0,1.0,0.9999895,0.99994504,0.99999857
26,id50_id53_0000,1,1.0,1.0,0.9999914,0.9999881,0.9999987
27,id16_id26_0001,1,1.0,1.0,0.99999285,0.99998707,0.9999987
28,id35_id23_0009,1,1.0,1.0,0.9999937,0.99999005,0.9999988
29,id31_id33_0009,1,1.0,1.0,0.99995863,0.99976516,0.999998
30,id37_id38_0009,1,1.0,1.0,0.9999852,0.99994534,0.99999833
31,id23_id3_0009,1,1.0,1.0,0.9999846,0.9997677,0.9999988
32,00280,0,1.0,1.0,0.988446,0.9209634,0.9995716
