,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,id35_id28_0008,1,1.0,1.0,0.9999924,0.9999912,0.99999774
1,00289,0,1.0,1.0,0.9997669,0.97148216,0.9999732
2,id38_id29_0008,1,1.0,1.0,0.9999958,0.9999898,0.9999988
3,id17_id16_0000,1,1.0,1.0,0.9999912,0.9999856,0.9999989
4,00252,0,1.0,1.0,0.99862933,0.9977493,0.99979275
5,id11_id7_0009,1,1.0,1.0,0.99998593,0.999973,0.99999857
6,id0_id1_0005,1,1.0,1.0,0.99999654,0.99855083,0.99999905
7,id20_id4_0001,1,1.0,1.0,0.9999968,0.9999959,0.9999995
8,id23_id6_0006,1,1.0,1.0,0.99999404,0.9999914,0.99999845
9,id6_id16_0001,1,1.0,1.0,0.99999166,0.9999847,0.9999987
10,00265,0,1.0,1.0,0.9999082,0.9996283,0.99999154
11,id29_0009,0,1.0,1.0,0.99997246,0.9999621,0.9999937
12,id58_id52_0005,1,1.0,1.0,0.9999927,0.99999005,0.99999845
13,id37_id29_0005,1,1.0,1.0,0.99999416,0.99999356,0.99999833
14,id56_0000,0,1.0,1.0,0.9995493,0.9989744,0.9999486
15,id3_id37_0006,1,1.0,1.0,0.9999956,0.9999945,0.9999989
16,id1_id6_0005,1,1.0,1.0,0.9999956,0.99998254,0.99999917
17,id30_id28_0004,1,1.0,1.0,0.9999957,0.9999942,0.99999905
18,id21_id0_0000,1,1.0,1.0,0.9999964,0.9999945,0.99999905
19,id6_id9_0000,1,1.0,1.0,0.99999607,0.9999913,0.9999989
20,id37_id20_0004,1,1.0,1.0,0.99999523,0.9999639,0.99999917
21,id16_id31_0002,1,1.0,1.0,0.9999931,0.9999907,0.99999833
22,id4_id3_0001,1,1.0,1.0,0.99998295,0.9999454,0.9999988
23,id41_id48_0001,1,1.0,1.0,0.99998784,0.9999652,0.9999988
24,id0_id1_0007,1,1.0,1.0,0.9999975,0.9999958,0.9999993
25,id30_id26_0006,1,1.0,1.0,0.9999962,0.9999901,0.99999917
26,id26_id24_0009,1,1.0,1.0,0.9999957,0.9999943,0.99999917
27,id3_0008,0,1.0,1.0,0.9998005,0.99974567,0.999933
28,id32_id29_0003,1,1.0,1.0,0.99999523,0.9999929,0.9999988
29,id28_id37_0008,1,1.0,1.0,0.9999912,0.99998367,0.9999987
30,id20_0008,0,1.0,1.0,0.99981695,0.9997455,0.99995816
31,id0_id9_0000,1,1.0,1.0,0.99999595,0.9999881,0.9999993
32,id33_id31_0009,1,1.0,1.0,0.999992,0.9999879,0.9999981
33,id17_id1_0000,1,1.0,1.0,0.9999951,0.99999386,0.99999905
34,id40_0003,0,1.0,1.0,0.99977535,0.99956787,0.99998164
35,id45_id39_0008,1,1.0,1.0,0.9999933,0.9999893,0.9999989
36,id19_id24_0000,1,1.0,1.0,0.99999464,0.9999253,0.99999905
37,id21_id28_0006,1,1.0,1.0,0.9999956,0.9999909,0.99999905
38,id23_id3_0004,1,1.0,1.0,0.9999919,0.99998593,0.99999917
39,00119,0,1.0,1.0,0.99994767,0.9999278,0.99999225
40,id8_id5_0008,1,1.0,1.0,0.99999475,0.9999938,0.99999833
41,id30_id6_0007,1,1.0,1.0,0.999995,0.9999902,0.99999905
42,id41_id44_0005,1,1.0,1.0,0.9999645,0.999829,0.99999845
43,id3_id17_0000,1,1.0,1.0,0.9999906,0.99998295,0.9999989
44,id58_id57_0008,1,1.0,1.0,0.9999918,0.9999854,0.99999833
45,id56_id54_0000,1,1.0,1.0,0.9999913,0.9999899,0.99999726
46,id1_id4_0007,1,1.0,1.0,0.99999404,0.99999225,0.9999982
47,id9_id2_0000,1,1.0,1.0,0.9999949,0.9999909,0.9999988
48,id20_id0_0006,1,1.0,1.0,0.9999962,0.9999951,0.9999987
49,id28_id37_0007,1,1.0,1.0,0.9999882,0.9992444,0.99999917
50,id1_id0_0005,1,1.0,1.0,0.99999547,0.99942875,0.9999987
51,00254,0,1.0,1.0,0.9999299,0.9998365,0.9999957
52,id2_id9_0006,1,1.0,1.0,0.99999547,0.99999416,0.9999988
53,id2_id3_0001,1,1.0,1.0,0.99998784,0.99998105,0.99999833
54,id20_id1_0001,1,1.0,1.0,0.99999416,0.999991,0.9999987
55,id4_id6_0002,1,1.0,1.0,0.999995,0.99999267,0.9999989
56,id33_id29_0004,1,1.0,1.0,0.9999933,0.9999845,0.9999988
57,id22_id21_0005,1,1.0,1.0,0.9999974,0.99999666,0.99999905
58,id26_id35_0003,1,1.0,1.0,0.99999404,0.9999759,0.9999988
59,id6_id1_0005,1,1.0,1.0,0.99999654,0.9999959,0.99999905
60,id27_0009,0,1.0,1.0,0.99874085,0.99593776,0.9999125
61,id9_id21_0008,1,1.0,1.0,0.9999943,0.9999919,0.9999982
62,id7_id12_0006,1,1.0,1.0,0.99999666,0.9999962,0.99999917
63,id24_id20_0009,1,1.0,1.0,0.9999951,0.99999356,0.99999905
64,id28_0004,0,1.0,1.0,0.99997354,0.9999583,0.99999464
65,id29_id34_0008,1,1.0,1.0,0.9999949,0.9999923,0.9999987
66,id33_id38_0005,1,1.0,1.0,0.99999356,0.99999166,0.99999905
67,id28_id3_0004,1,1.0,1.0,0.99999726,0.9999959,0.9999993
68,id52_id49_0007,1,1.0,1.0,0.9999958,0.99999386,0.9999987
69,id28_id30_0006,1,1.0,1.0,0.9999807,0.9999658,0.9999989
70,id38_id30_0006,1,1.0,1.0,0.9999964,0.9999947,0.99999905
71,id4_id21_0002,1,1.0,1.0,0.99999297,0.999991,0.99999845
72,id17_id3_0007,1,1.0,1.0,0.99999464,0.9999912,0.99999917
73,id21_id6_0005,1,1.0,1.0,0.99998784,0.99997514,0.99999857
74,id28_0007,0,1.0,1.0,0.99633706,0.97430485,0.9997738
75,00257,0,1.0,1.0,0.9999279,0.9998845,0.99997354
76,id13_id10_0005,1,1.0,1.0,0.99999344,0.9999891,0.9999989
77,id6_id2_0002,1,1.0,1.0,0.9999924,0.9999885,0.9999989
78,id26_id27_0006,1,1.0,1.0,0.9999933,0.99996233,0.9999993
79,id37_id35_0005,1,1.0,1.0,0.9999939,0.9999846,0.9999989
80,id10_id11_0004,1,1.0,1.0,0.99998426,0.9999765,0.99999654
81,00253,0,1.0,1.0,0.9941766,0.98821586,0.99960667
82,id26_id23_0003,1,1.0,1.0,0.9999894,0.9999496,0.99999833
83,id9_id1_0000,1,1.0,1.0,0.9999957,0.99999213,0.9999988
84,id0_id21_0000,1,1.0,1.0,0.9999962,0.9999926,0.9999993
85,id4_id20_0000,1,1.0,1.0,0.99999523,0.9999626,0.9999993
86,id57_id51_0004,1,1.0,1.0,0.9999962,0.99994075,0.9999988
87,id17_0000,0,1.0,1.0,0.9998306,0.99978966,0.99995935
88,id24_id26_0009,1,1.0,1.0,0.99999535,0.99999475,0.9999988
89,id9_id3_0000,1,1.0,1.0,0.99999547,0.9999902,0.9999989
90,id9_id16_0000,1,1.0,1.0,0.9999944,0.9999887,0.99999905
91,id25_id21_0005,1,1.0,1.0,0.99999535,0.99999434,0.9999987
92,id51_0001,0,1.0,1.0,0.9979876,0.9874382,0.99978584
