,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,id35_id28_0008,1,1.0,1.0,0.9170045,0.7857081,0.99880373
1,00289,0,0.0,0.0,0.20964453,0.28711355,0.98832846
2,id38_id29_0008,1,1.0,1.0,0.7424607,0.59746563,0.99988794
3,id17_id16_0000,1,1.0,1.0,0.90926147,0.7624091,0.9995431
4,00252,0,0.0,0.0,0.043615106,0.062251218,0.29338583
5,id11_id7_0009,1,1.0,1.0,0.86643153,0.7078751,0.9999176
6,id0_id1_0005,1,1.0,1.0,0.91079265,0.7349488,0.9999733
7,id20_id4_0001,1,1.0,1.0,0.82101214,0.6999751,0.99899906
8,id23_id6_0006,1,1.0,1.0,0.93107677,0.8179338,0.9998977
9,id6_id16_0001,1,1.0,1.0,0.92719454,0.78054875,0.9998148
10,00265,0,1.0,1.0,0.57275915,0.5604793,0.9725973
11,id29_0009,0,0.0,0.0,0.19369392,0.28366724,0.9032939
12,id58_id52_0005,1,1.0,1.0,0.6410916,0.5415056,0.99936336
13,id37_id29_0005,1,1.0,0.0,0.5393522,0.49991465,0.99592847
14,id56_0000,0,0.0,0.0,0.21464741,0.28124508,0.9222922
15,id3_id37_0006,1,0.0,0.0,0.4992948,0.44753823,0.9992409
16,id1_id6_0005,1,1.0,1.0,0.63653755,0.5056248,0.9996265
17,id30_id28_0004,1,1.0,1.0,0.7596876,0.6442615,0.9989171
18,id21_id0_0000,1,1.0,1.0,0.7038325,0.5969872,0.9980453
19,id6_id9_0000,1,1.0,0.0,0.580959,0.46444744,0.9999583
20,id37_id20_0004,1,1.0,0.0,0.646531,0.485431,0.9999337
21,id16_id31_0002,1,1.0,1.0,0.7799796,0.655031,0.9981365
22,id4_id3_0001,1,1.0,1.0,0.8018477,0.61670065,0.9996922
23,id41_id48_0001,1,0.0,0.0,0.3590745,0.41893905,0.99932265
24,id0_id1_0007,1,1.0,1.0,0.85895395,0.747347,0.99891376
25,id30_id26_0006,1,1.0,1.0,0.6987146,0.602543,0.99923575
26,id26_id24_0009,1,1.0,1.0,0.87865454,0.75464684,0.9993536
27,id3_0008,0,0.0,0.0,0.057355467,0.102759905,0.55626583
28,id32_id29_0003,1,0.0,0.0,0.14783904,0.25940514,0.99251586
29,id28_id37_0008,1,1.0,1.0,0.63725847,0.5615227,0.99891317
30,id20_0008,0,0.0,0.0,0.22291955,0.2676145,0.7650839
31,id0_id9_0000,1,1.0,1.0,0.9823783,0.9200628,0.9998636
32,id33_id31_0009,1,1.0,1.0,0.940237,0.79294026,0.999954
33,id17_id1_0000,1,1.0,1.0,0.85657156,0.6824769,0.99971026
34,id40_0003,0,0.0,0.0,0.21821158,0.29932106,0.9204205
35,id45_id39_0008,1,1.0,1.0,0.7745055,0.6272806,0.9993375
36,id19_id24_0000,1,0.0,0.0,0.3637053,0.38701588,0.9987459
37,id21_id28_0006,1,1.0,1.0,0.8870326,0.7916648,0.99973744
38,id23_id3_0004,1,0.0,0.0,0.4967212,0.47707325,0.9989568
39,00119,0,0.0,0.0,0.20828308,0.2655168,0.953854
40,id8_id5_0008,1,1.0,1.0,0.79538876,0.6810295,0.9995833
41,id30_id6_0007,1,1.0,1.0,0.95694506,0.8584367,0.9997743
42,id41_id44_0005,1,1.0,1.0,0.961311,0.8468835,0.9998969
43,id3_id17_0000,1,0.0,0.0,0.28076708,0.34561205,0.9989881
44,id58_id57_0008,1,0.0,0.0,0.41644186,0.4075336,0.9994221
45,id56_id54_0000,1,1.0,1.0,0.80394673,0.6759292,0.99974066
46,id1_id4_0007,1,1.0,1.0,0.89369524,0.773138,0.99952495
47,id9_id2_0000,1,0.0,0.0,0.37260893,0.35990646,0.999813
48,id20_id0_0006,1,1.0,1.0,0.9568063,0.82094276,0.9998196
49,id28_id37_0007,1,1.0,1.0,0.886919,0.7856832,0.9991678
50,id1_id0_0005,1,1.0,1.0,0.92184144,0.6907673,0.9999882
51,00254,0,1.0,1.0,0.5420756,0.5287988,0.96853507
52,id2_id9_0006,1,1.0,1.0,0.63155365,0.50642145,0.9995123
