,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,id35_id28_0008,1,1.0,1.0,0.95704854,0.9080868,0.99979633
1,00289,0,1.0,1.0,0.5622382,0.5431756,0.91842586
2,id38_id29_0008,1,1.0,1.0,0.9192338,0.80994654,0.9999976
3,id17_id16_0000,1,1.0,1.0,0.96784747,0.888001,0.9999976
4,00252,0,1.0,1.0,0.5298171,0.52989644,0.76074934
5,id11_id7_0009,1,1.0,1.0,0.93197227,0.84505296,0.99994624
6,id0_id1_0005,1,1.0,1.0,0.98837864,0.9291509,1.0
7,id20_id4_0001,1,1.0,1.0,0.88363093,0.79032415,0.9999529
8,id23_id6_0006,1,1.0,1.0,0.8915748,0.8316529,0.996783
9,id6_id16_0001,1,1.0,1.0,0.9530158,0.86238474,0.99998593
10,00265,0,1.0,1.0,0.8194207,0.73938835,0.99551183
11,id29_0009,0,1.0,1.0,0.5870088,0.57058007,0.91917694
12,id58_id52_0005,1,1.0,1.0,0.85278124,0.6973009,0.99997234
13,id37_id29_0005,1,1.0,1.0,0.93162495,0.81426275,0.99992204
14,id56_0000,0,1.0,1.0,0.64518225,0.6278934,0.92151815
15,id3_id37_0006,1,1.0,1.0,0.94459075,0.8514354,0.9999713
16,id1_id6_0005,1,1.0,1.0,0.8598496,0.6969225,0.9999906
17,id30_id28_0004,1,1.0,1.0,0.84339523,0.77065724,0.9974826
18,id21_id0_0000,1,1.0,1.0,0.9354103,0.84228367,0.9999784
19,id6_id9_0000,1,1.0,1.0,0.9353052,0.70636284,0.9999999
20,id37_id20_0004,1,1.0,1.0,0.9380452,0.7536086,0.99999785
21,id16_id31_0002,1,1.0,1.0,0.9406851,0.8855659,0.9999435
22,id4_id3_0001,1,1.0,1.0,0.95918804,0.87879634,0.9999995
23,id41_id48_0001,1,1.0,1.0,0.9288338,0.754574,0.9999944
24,id0_id1_0007,1,1.0,1.0,0.95972174,0.88817316,0.9999814
25,id30_id26_0006,1,1.0,1.0,0.90772665,0.8041855,0.99997544
26,id26_id24_0009,1,1.0,1.0,0.96633554,0.8941495,0.999627
27,id3_0008,0,0.0,0.0,0.36124665,0.37640122,0.7878681
28,id32_id29_0003,1,1.0,1.0,0.68200356,0.60229194,0.99980646
29,id28_id37_0008,1,1.0,1.0,0.95368123,0.90064347,0.9998714
30,id20_0008,0,0.0,0.0,0.2279991,0.23869763,0.43832678
31,id0_id9_0000,1,1.0,1.0,0.98467505,0.9376535,0.99999464
32,id33_id31_0009,1,1.0,1.0,0.91867876,0.8353026,0.99975497
33,id17_id1_0000,1,1.0,1.0,0.97679853,0.89776963,0.9999993
