,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,id35_id28_0008,1,1.0,1.0,0.6143993,0.61268014,0.7140297
1,00289,0,1.0,1.0,0.5300157,0.5295444,0.66396594
2,id38_id29_0008,1,1.0,1.0,0.6089092,0.60649806,0.78602034
3,id17_id16_0000,1,1.0,1.0,0.611093,0.60913724,0.7381242
4,00252,0,0.0,0.0,0.4596157,0.46178266,0.62329805
5,id11_id7_0009,1,1.0,1.0,0.52102023,0.51979476,0.73421013
6,id0_id1_0005,1,1.0,1.0,0.61588466,0.6129785,0.7632594
7,id20_id4_0001,1,1.0,1.0,0.57359856,0.5719738,0.70463455
8,id23_id6_0006,1,1.0,1.0,0.64285105,0.6419741,0.738939
9,id6_id16_0001,1,1.0,1.0,0.60708994,0.6053159,0.7098783
10,00265,0,0.0,0.0,0.35663915,0.35846737,0.5709398
11,id29_0009,0,0.0,0.0,0.35510013,0.3572729,0.54102314
12,id58_id52_0005,1,1.0,1.0,0.5486218,0.54729515,0.72721606
13,id37_id29_0005,1,1.0,1.0,0.58258754,0.5800881,0.71214134
14,id56_0000,0,0.0,0.0,0.43280414,0.4342634,0.63535976
15,id3_id37_0006,1,1.0,1.0,0.5231,0.5227754,0.70056367
16,id1_id6_0005,1,1.0,1.0,0.50756615,0.5074499,0.7256988
17,id30_id28_0004,1,1.0,1.0,0.5821839,0.58055425,0.69573987
18,id21_id0_0000,1,1.0,1.0,0.57786894,0.5760509,0.69992846
19,id6_id9_0000,1,1.0,1.0,0.57747406,0.57407314,0.7572769
20,id37_id20_0004,1,1.0,1.0,0.5216173,0.5198019,0.7620372
21,id16_id31_0002,1,1.0,1.0,0.6411201,0.6406289,0.71878356
22,id4_id3_0001,1,1.0,1.0,0.6184167,0.6169157,0.7619634
23,id41_id48_0001,1,1.0,1.0,0.58087784,0.578949,0.7257282
24,id0_id1_0007,1,1.0,1.0,0.624794,0.62403303,0.70730156
25,id30_id26_0006,1,1.0,1.0,0.5833801,0.5817705,0.7075347
26,id26_id24_0009,1,1.0,1.0,0.6157905,0.6143428,0.71419656
27,id3_0008,0,0.0,0.0,0.3611184,0.3632783,0.55537844
28,id32_id29_0003,1,0.0,0.0,0.48901474,0.489892,0.7380754
29,id28_id37_0008,1,1.0,1.0,0.58420163,0.58225274,0.7262518
30,id20_0008,0,0.0,0.0,0.3773084,0.37852347,0.6234348
31,id0_id9_0000,1,1.0,1.0,0.64448404,0.64322853,0.7380161
32,id33_id31_0009,1,1.0,1.0,0.60017884,0.5980741,0.7169003
33,id17_id1_0000,1,1.0,1.0,0.60484284,0.60207564,0.77040726
34,id40_0003,0,0.0,0.0,0.4373089,0.44006786,0.64656687
35,id45_id39_0008,1,1.0,1.0,0.59456235,0.5933354,0.6929834
36,id19_id24_0000,1,0.0,0.0,0.49063244,0.49129152,0.68858916
37,id21_id28_0006,1,1.0,1.0,0.59010243,0.5873658,0.7807108
38,id23_id3_0004,1,1.0,1.0,0.56611633,0.5647767,0.70268047
39,00119,0,0.0,0.0,0.48801643,0.48841932,0.6949868
40,id8_id5_0008,1,1.0,1.0,0.5886859,0.5856296,0.7690493
41,id30_id6_0007,1,1.0,1.0,0.60975397,0.60775185,0.72950065
42,id41_id44_0005,1,1.0,1.0,0.60584515,0.6039861,0.74088603
43,id3_id17_0000,1,1.0,1.0,0.52874964,0.5283509,0.7067759
44,id58_id57_0008,1,0.0,0.0,0.48984286,0.4900967,0.680141
45,id56_id54_0000,1,1.0,1.0,0.58324456,0.5812935,0.7096342
46,id1_id4_0007,1,1.0,1.0,0.5833719,0.5808398,0.7272254
47,id9_id2_0000,1,0.0,0.0,0.49394718,0.49481702,0.72395074
48,id20_id0_0006,1,1.0,1.0,0.6268145,0.62519366,0.71689856
49,id28_id37_0007,1,1.0,1.0,0.56009626,0.5577912,0.72298646
50,id1_id0_0005,1,1.0,1.0,0.5930921,0.5900139,0.7582891
51,00254,0,1.0,1.0,0.5322117,0.5319052,0.6628539
52,id2_id9_0006,1,1.0,1.0,0.5918666,0.589322,0.7431549
53,id2_id3_0001,1,1.0,1.0,0.6416206,0.63956887,0.74328834
54,id20_id1_0001,1,1.0,1.0,0.55333894,0.55207807,0.72907
55,id4_id6_0002,1,1.0,1.0,0.6210992,0.6190215,0.7393425
56,id33_id29_0004,1,0.0,0.0,0.49597478,0.4964636,0.7197525
57,id22_id21_0005,1,1.0,1.0,0.56634665,0.5651614,0.72362095
58,id26_id35_0003,1,1.0,1.0,0.6255135,0.62388194,0.7153004
59,id6_id1_0005,1,1.0,1.0,0.57174593,0.56924057,0.73731244
60,id27_0009,0,0.0,0.0,0.30674908,0.30701625,0.35475755
61,id9_id21_0008,1,0.0,0.0,0.42706513,0.43053305,0.721393
62,id7_id12_0006,1,1.0,1.0,0.60790646,0.6064169,0.71073395
63,id24_id20_0009,1,1.0,1.0,0.56444114,0.56208324,0.7561208
64,id28_0004,0,0.0,0.0,0.3687348,0.37059623,0.62226886
65,id29_id34_0008,1,1.0,1.0,0.5296839,0.52889115,0.7079057
66,id33_id38_0005,1,1.0,1.0,0.5348134,0.5339147,0.7893963
67,id28_id3_0004,1,0.0,0.0,0.49471363,0.49516758,0.7024777
68,id52_id49_0007,1,1.0,1.0,0.5780302,0.57625794,0.701839
69,id28_id30_0006,1,1.0,1.0,0.5852925,0.58463997,0.67143536
70,id38_id30_0006,1,0.0,0.0,0.4946525,0.4955276,0.7019619
71,id4_id21_0002,1,1.0,1.0,0.5788772,0.5767649,0.708577
72,id17_id3_0007,1,1.0,1.0,0.59413505,0.5924195,0.7002036
73,id21_id6_0005,1,1.0,1.0,0.60792696,0.60614693,0.726586
74,id28_0007,0,0.0,0.0,0.3853997,0.38688686,0.673089
75,00257,0,0.0,0.0,0.29784977,0.29824805,0.34308264
76,id13_id10_0005,1,1.0,1.0,0.6184003,0.6161804,0.7266994
77,id6_id2_0002,1,1.0,1.0,0.5576624,0.55634886,0.71978545
78,id26_id27_0006,1,1.0,1.0,0.5282979,0.52825975,0.7013232
79,id37_id35_0005,1,1.0,1.0,0.59384286,0.5917209,0.7301042
80,id10_id11_0004,1,1.0,1.0,0.50605357,0.5076326,0.71588254
81,00253,0,0.0,0.0,0.38977545,0.39066678,0.6278611
82,id26_id23_0003,1,0.0,0.0,0.45738438,0.45958397,0.7269507
83,id9_id1_0000,1,1.0,1.0,0.57276416,0.5709924,0.7442843
84,id0_id21_0000,1,1.0,1.0,0.6127776,0.61098397,0.76180464
85,id4_id20_0000,1,1.0,1.0,0.60399806,0.60132587,0.7565317
86,id57_id51_0004,1,1.0,1.0,0.59024304,0.5870489,0.7551975
87,id17_0000,0,1.0,1.0,0.592342,0.59050834,0.69350904
88,id24_id26_0009,1,1.0,1.0,0.6075076,0.6045963,0.7403223
89,id9_id3_0000,1,1.0,1.0,0.5337139,0.5333105,0.7271416
90,id9_id16_0000,1,1.0,1.0,0.5866703,0.5850901,0.71934545
91,id25_id21_0005,1,1.0,1.0,0.6339461,0.6323905,0.71331674
92,id51_0001,0,0.0,0.0,0.45788294,0.4598643,0.63297224
93,id3_id37_0004,1,1.0,1.0,0.6258532,0.62310135,0.73554945
94,id2_id21_0000,1,0.0,0.0,0.42508808,0.42820746,0.685082
95,id6_id3_0005,1,1.0,1.0,0.5646157,0.56246734,0.74462825
96,id39_id47_0004,1,1.0,1.0,0.60266536,0.60162276,0.6923928
97,id26_id17_0006,1,1.0,1.0,0.5342285,0.53371465,0.7122261
98,id21_id19_0009,1,1.0,1.0,0.61176735,0.6091342,0.7463893
99,id27_id21_0008,1,1.0,1.0,0.5445142,0.5436046,0.69274926
100,id17_id2_0007,1,1.0,1.0,0.59444857,0.5925457,0.72584665
101,id28_id3_0002,1,1.0,1.0,0.6103197,0.6091369,0.7145057
102,id31_id33_0009,1,1.0,1.0,0.53476906,0.5338797,0.75078857
103,id34_id37_0008,1,1.0,1.0,0.56407976,0.5623056,0.71865445
104,id40_id42_0001,1,0.0,0.0,0.4555931,0.4582464,0.7125452
105,id17_id21_0000,1,1.0,1.0,0.62690413,0.6253536,0.7321031
106,id12_id10_0002,1,1.0,1.0,0.6123237,0.61016953,0.7435059
107,id0_id2_0002,1,0.0,0.0,0.46290985,0.46402985,0.72547716
108,id0_id16_0003,1,1.0,1.0,0.6276759,0.6265014,0.72302765
109,id46_id45_0001,1,1.0,1.0,0.5416617,0.54020065,0.7268156
110,00287,0,0.0,0.0,0.49647227,0.4974314,0.6279376
111,00278,0,0.0,0.0,0.31195968,0.31321797,0.43231097
112,id2_id16_0004,1,1.0,1.0,0.5545354,0.5527446,0.74963623
113,00047,0,1.0,1.0,0.5337605,0.53338784,0.6815764
114,id29_id30_0000,1,1.0,1.0,0.52095544,0.5208208,0.67461956
115,00266,0,0.0,0.0,0.3837083,0.38524947,0.630541
116,id9_id0_0000,1,1.0,1.0,0.6225456,0.6210829,0.6962722
