,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,id35_id28_0008,1,1.0,1.0,0.7907844,0.5868454,0.99977905
1,00289,0,0.0,0.0,0.07233863,0.16829522,0.98271704
2,id38_id29_0008,1,1.0,1.0,0.79408145,0.60528916,0.9994825
3,id17_id16_0000,1,1.0,1.0,0.87245893,0.66661465,0.9994622
4,00252,0,0.0,0.0,0.024400117,0.039243504,0.2368531
5,id11_id7_0009,1,0.0,0.0,0.28349695,0.3374301,0.999716
6,id0_id1_0005,1,1.0,1.0,0.8427754,0.58824694,0.999608
7,id20_id4_0001,1,1.0,1.0,0.906516,0.70006585,0.9995443
8,id23_id6_0006,1,1.0,0.0,0.54263115,0.41123423,0.99967
9,id6_id16_0001,1,1.0,1.0,0.9809902,0.8515318,0.99957055
10,00265,0,0.0,0.0,0.02181602,0.069947004,0.55315244
11,id29_0009,0,0.0,0.0,0.008889221,0.032932725,0.4136714
12,id58_id52_0005,1,0.0,0.0,0.2456018,0.32941326,0.99960464
13,id37_id29_0005,1,0.0,0.0,0.2878884,0.38224977,0.9993948
14,id56_0000,0,0.0,0.0,0.01611474,0.041601274,0.55727035
15,id3_id37_0006,1,0.0,0.0,0.29395714,0.32953274,0.99972075
16,id1_id6_0005,1,0.0,0.0,0.43452618,0.41442144,0.99943393
17,id30_id28_0004,1,1.0,1.0,0.8944434,0.6826397,0.999718
18,id21_id0_0000,1,1.0,1.0,0.82651955,0.60526675,0.99939203
19,id6_id9_0000,1,1.0,1.0,0.9487434,0.6927588,0.99964297
20,id37_id20_0004,1,0.0,0.0,0.15859854,0.2796517,0.9996524
21,id16_id31_0002,1,1.0,0.0,0.6250145,0.49838614,0.99960643
22,id4_id3_0001,1,1.0,1.0,0.9547228,0.7526235,0.99955255
23,id41_id48_0001,1,1.0,1.0,0.7839144,0.55236167,0.999539
24,id0_id1_0007,1,1.0,1.0,0.92140913,0.68790394,0.9994461
25,id30_id26_0006,1,1.0,1.0,0.80746543,0.6115296,0.99972135
26,id26_id24_0009,1,1.0,0.0,0.600447,0.49452722,0.9995541
27,id3_0008,0,0.0,0.0,0.01526573,0.09779677,0.9617089
28,id32_id29_0003,1,0.0,0.0,0.1047371,0.20999113,0.9994111
29,id28_id37_0008,1,0.0,0.0,0.35736552,0.3851884,0.9993144
30,id20_0008,0,0.0,0.0,0.04500383,0.09868759,0.7022946
31,id0_id9_0000,1,1.0,1.0,0.95984936,0.7438498,0.99980766
32,id33_id31_0009,1,1.0,1.0,0.83389145,0.60062796,0.99968886
33,id17_id1_0000,1,1.0,1.0,0.9041779,0.7105069,0.9995628
34,id40_0003,0,0.0,0.0,0.0055993344,0.028179042,0.45461532
35,id45_id39_0008,1,1.0,1.0,0.8488037,0.6291369,0.999278
36,id19_id24_0000,1,0.0,0.0,0.05147117,0.1786642,0.9994491
37,id21_id28_0006,1,1.0,0.0,0.5621848,0.4734974,0.99914706
38,id23_id3_0004,1,0.0,0.0,0.3012837,0.36320075,0.99966943
39,00119,0,0.0,0.0,0.07699619,0.13947551,0.9947301
40,id8_id5_0008,1,1.0,0.0,0.56143796,0.47106212,0.9996469
41,id30_id6_0007,1,1.0,1.0,0.6764257,0.5266795,0.99962866
42,id41_id44_0005,1,1.0,1.0,0.9439212,0.7357671,0.9997663
