,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,id7_id13_0000,1,1.0,1.0,0.7607906,0.60968566,0.9999566
1,id34_id38_0003,1,1.0,1.0,0.6473968,0.6021201,0.9684056
2,id0_id9_0006,1,1.0,1.0,0.8810361,0.69239485,0.9999918
3,id2_id4_0003,1,1.0,1.0,0.5911305,0.51908374,0.9998062
4,id2_0002,0,0.0,0.0,0.049402278,0.081053935,0.29497984
5,00262,0,0.0,0.0,0.21803287,0.25936922,0.70664865
6,id9_id0_0006,1,1.0,1.0,0.94831944,0.8292541,0.99992967
7,id4_id1_0007,1,1.0,1.0,0.85039616,0.7600258,0.9995579
8,00255,0,1.0,1.0,0.82047623,0.78170043,0.9818123
9,id30_id28_0006,1,1.0,1.0,0.78837514,0.6469697,0.9998939
10,id30_id4_0001,1,1.0,1.0,0.74309886,0.60199404,0.99988747
11,id30_id29_0000,1,1.0,1.0,0.693608,0.60639244,0.999263
12,id54_id56_0000,1,1.0,1.0,0.8481,0.7345253,0.9999175
13,id28_id22_0006,1,1.0,1.0,0.6591808,0.57128936,0.9995648
14,id11_id7_0007,1,1.0,1.0,0.8483626,0.7116614,0.9997639
15,id13_id7_0000,1,1.0,1.0,0.96158016,0.8225003,0.999995
16,id21_id20_0006,1,1.0,1.0,0.69631475,0.5411095,0.9999832
17,id3_id28_0009,1,1.0,1.0,0.6066537,0.5103694,0.9991196
18,id48_id41_0001,1,1.0,1.0,0.811762,0.5995258,0.99996877
19,id35_id30_0009,1,1.0,1.0,0.7297835,0.6084565,0.999728
20,id31_id32_0008,1,1.0,1.0,0.65749514,0.5212374,0.999678
21,id0_id1_0005,1,1.0,1.0,0.92607653,0.7095522,0.99999535
22,id45_id39_0008,1,1.0,1.0,0.86097527,0.7230009,0.9993747
23,id44_0003,0,1.0,1.0,0.53565323,0.51714516,0.9567593
24,id28_id4_0006,1,1.0,1.0,0.6024714,0.52466834,0.99935037
25,id9_id6_0000,1,1.0,1.0,0.86639875,0.66075206,0.999864
26,id50_id53_0000,1,1.0,1.0,0.72307396,0.5594928,0.99997973
27,id16_id26_0001,1,1.0,1.0,0.81628966,0.6807838,0.99980575
28,id35_id23_0009,1,1.0,1.0,0.7827664,0.59738326,0.99986696
29,id31_id33_0009,1,1.0,1.0,0.7366147,0.6318733,0.9989298
30,id37_id38_0009,1,1.0,1.0,0.8684841,0.7783447,0.9958617
31,id23_id3_0009,1,1.0,0.0,0.64622545,0.48804638,0.999967
32,00280,0,0.0,0.0,0.43492562,0.45422998,0.9524711
33,id24_id25_0003,1,1.0,1.0,0.87205577,0.7740545,0.9997539
34,id37_id4_0000,1,1.0,1.0,0.8455073,0.7473334,0.99967873
35,id32_id33_0006,1,1.0,1.0,0.6667926,0.56827646,0.99939656
36,id3_id30_0006,1,1.0,0.0,0.5635266,0.47759303,0.9999646
37,id35_0000,0,1.0,1.0,0.5608262,0.5473883,0.9390792
38,id2_id3_0008,1,0.0,0.0,0.44148353,0.40168595,0.9996362
39,id22_id27_0007,1,1.0,0.0,0.63029075,0.48077935,0.9998838
40,id33_id34_0005,1,1.0,1.0,0.68435156,0.58047944,0.999526
41,id1_0001,0,0.0,0.0,0.4261615,0.46335298,0.87097305
42,id2_0001,0,0.0,0.0,0.31914058,0.35256726,0.8294113
43,id10_id12_0004,1,1.0,1.0,0.9095788,0.7852721,0.9999709
44,id53_id57_0006,1,1.0,1.0,0.85178477,0.69804573,0.99971396
45,id13_id10_0007,1,1.0,1.0,0.9268897,0.7674559,0.99995875
46,id16_id0_0004,1,1.0,1.0,0.84944797,0.67571825,0.9999149
47,00273,0,1.0,1.0,0.58910227,0.53759193,0.99314994
48,id17_id2_0000,1,1.0,1.0,0.7634394,0.52059376,0.9999825
49,id28_id26_0002,1,1.0,1.0,0.8349173,0.6939689,0.9999745
50,00251,0,0.0,0.0,0.13971391,0.17797014,0.52571326
51,id24_id26_0004,1,1.0,1.0,0.8741014,0.71875715,0.99994004
52,id54_id56_0006,1,1.0,1.0,0.6956877,0.61534464,0.997773
53,id31_id20_0006,1,1.0,1.0,0.73893744,0.5692455,0.9998779
54,id57_id53_0005,1,0.0,0.0,0.49228245,0.42374998,0.99882716
55,id19_id27_0001,1,1.0,1.0,0.820646,0.72164315,0.9992392
56,id29_id37_0002,1,1.0,1.0,0.8070629,0.64586914,0.9998627
57,id0_id28_0009,1,1.0,1.0,0.83658445,0.68245304,0.9998159
58,id54_id56_0007,1,1.0,1.0,0.83711225,0.7122216,0.99881977
59,id35_id28_0006,1,1.0,1.0,0.77721965,0.54698646,0.99999714
60,id17_0002,0,1.0,1.0,0.6875175,0.62427896,0.98205733
61,id19_0007,0,0.0,0.0,0.3821648,0.39281225,0.9335592
62,id16_id6_0001,1,1.0,1.0,0.7244462,0.5921789,0.99993193
63,id51_0006,0,1.0,1.0,0.53647614,0.5213592,0.9389857
64,id16_id35_0007,1,0.0,0.0,0.4644349,0.4180657,0.9993462
