video_name,label,recce_pred_mean,effort_pred_mean,xception_pred_mean,clip_base_pred_mean,ucf_pred_mean,spsl_pred_mean
nile_red_2,1,0.9998822,0.9800445,0.9992857,0.9959338,0.99919087,0.9993227
dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,0.013265243,0.37703812,0.029064676,0.006391377,0.008576516,0.104178816
talyor_swift_3,1,0.9983425,0.9779196,0.9944385,0.9999861,0.9987434,0.9858164
70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,0.64786005,0.45580557,0.69031465,0.67446095,0.34748203,0.8708093
will_smith_2,1,0.9993138,0.9758346,0.99921083,0.99994034,0.99917746,0.99691504
08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,0.008792998,0.4244691,0.036365476,0.18572782,0.0037723994,0.30443135
chris_evans_1,1,0.99992186,0.9952313,0.9989065,0.9999033,0.99944234,0.9989551
nile_red_3,1,0.9898782,0.99271107,0.97829473,0.999995,0.999084,0.9875464
f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,0.01473924,0.9043344,0.018211916,0.009278644,0.0032040037,0.7140365
1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,0.8369982,0.888299,0.9158814,0.9712911,0.98742235,0.9049415
will_smith_1,1,0.9805748,0.978649,0.94487035,0.9999801,0.95837843,0.9912065
bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0027324199,0.4531507,0.014726946,0.0016278604,0.006017048,0.16233675
zoe_saldana_3,1,0.9996539,0.97592926,0.9995391,0.99957275,0.99940467,0.99881566
6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,0.4507541,0.94070584,0.8054193,0.9614033,0.84833294,0.8734973
anna_taylor_joy_3,1,0.8965705,0.98941183,0.73340714,0.73691684,0.994241,0.9882061
bruce_willis_1,1,0.6998998,0.9750118,0.84189636,0.9389125,0.9991572,0.9864464
4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,0.072860405,0.6731349,0.0875518,0.9862772,0.041212693,0.24132022
lee_ji_eun_3,1,0.9999099,0.9965503,0.9996507,0.99711156,0.99956894,0.99934304
e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,0.32173482,0.36569417,0.47068623,0.999229,0.04492063,0.4546967
