,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.53048456,0.6082897,0.88453615
1,will_smith_2,1,0.0,0.0,0.20081481,,0.5869802
2,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,0.0,0.0,0.05681587,,0.11986197
3,chris_evans_1,1,0.0,0.0,0.14876015,,0.2557341
4,will_smith_1,1,0.0,0.0,0.31762117,,0.45071673
5,zoe_saldana_3,1,1.0,1.0,0.7209086,,0.8513961
6,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,0.0,0.0,0.045975745,,0.08070319
7,bruce_willis_1,1,1.0,1.0,0.8236955,,0.91121835
8,arnold_schwarzenegger_1,1,1.0,1.0,0.9887954,,0.99505866
9,arnold_schwarzenegger_2,1,1.0,1.0,0.9956618,,0.99788135
10,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,0.0,0.0,0.0651764,,0.113321416
11,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,1.0,1.0,0.7537536,,0.8311485
12,a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,1.0,1.0,0.55946064,,0.666339
13,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,1.0,1.0,0.8754242,,0.9831701
14,salma_hayek_2,1,0.0,0.0,0.2578887,,0.8327539
15,usher_2,1,0.0,0.0,0.4751547,,0.63501763
16,talyor_swift_2,1,1.0,1.0,0.9827132,,0.98813885
17,nicole_kidman_3,1,0.0,0.0,0.050819643,,0.08380141
18,lee_ji_eun_2,1,1.0,1.0,0.92083114,,0.96249753
19,chris_evans_3,1,1.0,1.0,0.9509108,,0.99366164
20,8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,0.0,0.0,0.27806565,,0.5854307
21,8090e541f25d87d35507d7e12500c95c_1920x1080_30,0,1.0,1.0,0.9892702,,0.995989
22,salma_hayek_1,1,1.0,1.0,0.8745691,,0.909647
23,chris_evans_2,1,1.0,1.0,0.8586539,,0.98697567
24,nicole_kidman_2,1,1.0,1.0,0.9616557,,0.988853
25,92d3da54d22e81729747f7eb610af4f2_1920x1080_30,0,1.0,1.0,0.914527,,0.97194767
26,31ce85afe440564f525a418ec16340bc_1920x1080_30,0,1.0,1.0,0.97874844,,0.987519
27,218522b5c782bfd3a4ed1ed57b0686a0_1920x1080_30,0,0.0,0.0,0.39011326,,0.59109217
28,arnold_schwarzenegger_3,1,1.0,1.0,0.8680704,,0.8920798
29,lee_ji_eun_1,1,0.0,0.0,0.2345485,,0.46672994
30,usher_1,1,1.0,1.0,0.97288495,,0.99370533
31,nile_red_1,1,1.0,1.0,0.99556834,,0.99793446
32,fda953f258d38f3368f4c8fdc774756e_1920x1080_30,0,1.0,1.0,0.52164215,,0.80172217
33,lucy_liu_2,1,1.0,1.0,0.9840261,,0.997276
34,a4ea08e72606fb7ebd4347d79262823f_1920x1080_30,0,1.0,1.0,0.6250005,,0.9588394
35,ef8bffd0579e4c02b4d8bea44419c813_1920x1080_30,0,0.0,0.0,0.043486428,,0.06330827
36,zoe_saldana_1,1,0.0,0.0,0.08638197,,0.12108234
37,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,0.0,0.0,0.015496409,,0.028397303
38,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,1.0,1.0,0.86905164,,0.9949694
39,talyor_swift_3,1,1.0,1.0,0.87461084,,0.8857335
40,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,0.0,0.0,0.40349182,,0.50893885
41,nile_red_3,1,1.0,1.0,0.89221203,,0.9795944
42,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,0.0,0.0,0.14756615,,0.18252158
43,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.17641026,,0.34197617
44,anna_taylor_joy_3,1,1.0,1.0,0.8440103,,0.9747019
45,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,0.0,0.0,0.42223787,,0.87797946
46,lee_ji_eun_3,1,1.0,1.0,0.9352725,,0.9951309
47,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,0.0,0.0,0.2350705,,0.2720189
48,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,1.0,1.0,0.8178977,,0.8954862
49,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,1.0,1.0,0.8688402,,0.94824237
50,facd01b213b62c75ffb4b6a9f8222a25_1920x1080_30,0,1.0,1.0,0.50780076,,0.69128764
51,c67611cc32af5603f4f501e65b77c886_1080x1920_30,0,0.0,0.0,0.056502804,,0.8486872
52,c3089ec3080756f925b5b83fb66af24c_1920x1080_30,0,1.0,1.0,0.9873126,,0.99497175
53,b3683f20cd1b116bcef69df7f5425905_1080x1920_30,0,1.0,1.0,0.9857782,,0.9964385
54,bruce_willis_3,1,1.0,1.0,0.99480826,,0.99487215
55,will_smith_3,1,1.0,1.0,0.5533084,,0.7296516
56,anna_taylor_joy_2,1,0.0,0.0,0.27870762,,0.3936639
57,9c02f633262ef15f81eab1f2fa06faa5_1920x1080_30,0,1.0,1.0,0.9334466,,0.98460466
58,tian_yiming_2,1,1.0,1.0,0.9977216,,0.99917233
59,salma_hayek_3,1,1.0,0.0,0.5106085,,0.90329415
60,91154c046bba79ee8b24550a8cb2870b_1920x1080_30,0,1.0,1.0,0.95921856,,0.9952093
61,8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30,0,1.0,1.0,0.9733908,,0.98910785
62,3e7bd8b1e9bc081457559851a5012d14_1920x1080_30,0,1.0,1.0,0.94361436,,0.98433477
63,lucy_liu_1,1,1.0,1.0,0.9699036,,0.9954058
64,0296bcc0fdd2a47380e798289dcc099f_1080x1920_30,0,1.0,1.0,0.9685642,,0.9912548
65,fd3202c6d0436d7ed3b479bc00b045db_1080x1920_30,0,0.0,0.0,0.48876888,,0.79872394
66,2326ac1d3e069fbd86e2ca79082e19f9_1920x1080_30,0,0.0,0.0,0.18334022,,0.36091223
67,e47c246f3c2f0f66eca1a08aea644c57_1080x1920_30,0,0.0,0.0,0.17744306,,0.49224657
68,be19ce722a9e52e2613a6d8f775af82d_1920x1080_30,0,0.0,0.0,0.2184655,,0.689196
69,d639c8cb4e4b3521296fbd2dc0b63c5e_1920x1080_30,0,0.0,0.0,0.41229257,,0.7225712
70,f72a8ac49cce8aac59171c3671e22b9b_1920x1080_30,0,0.0,0.0,0.32585073,,0.7926276
71,nicole_kidman_1,1,1.0,1.0,0.9901597,,0.99576926
72,usher_3,1,1.0,1.0,0.9694994,,0.9905155
73,lucy_liu_3,1,1.0,1.0,0.99139035,,0.9953596
74,tian_yiming_1,1,0.0,0.0,0.0841813,,0.11059055
75,anna_taylor_joy_1,1,0.0,0.0,0.08843841,,0.15460457
76,tian_yiming_3,1,0.0,0.0,0.37098077,,0.92398065
77,af5d2889657072d100b0b08f27719568_1920x1080_30,0,0.0,0.0,0.34005278,,0.4286761
78,db623c6fff8ffffa6615170d6f8cbfd7_1920x1080_30,0,1.0,1.0,0.6311411,,0.86105484
79,zoe_saldana_2,1,0.0,0.0,0.47992066,,0.70331305
80,talyor_swift_1,1,1.0,1.0,0.98329264,,0.9932526
81,bruce_willis_2,1,1.0,1.0,0.76833856,,0.95790297
82,d02c5cdaee1215360fb80240d7a8901f_1080x1920_30,0,1.0,1.0,0.6779509,,0.8532227
83,9bd3195d97edad5f200b325825dbb729_1920x1080_30,0,1.0,1.0,0.85062426,,0.9892019
