,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.9989839,0.9959338,0.9999641
1,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,0.0,0.0,0.004620103,0.006391377,0.056223143
2,talyor_swift_3,1,1.0,1.0,0.9999877,0.9999861,0.9999968
3,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,1.0,1.0,0.8076667,0.67446095,0.9995073
4,will_smith_2,1,1.0,1.0,0.9999546,0.99994034,0.99998903
5,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,0.0,0.0,0.09784448,0.18572782,0.9872049
6,chris_evans_1,1,1.0,1.0,0.9999299,0.9999033,0.9999819
7,nile_red_3,1,1.0,1.0,0.99999547,0.999995,0.9999982
8,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,0.0,0.0,0.0069465805,0.009278644,0.04433432
9,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.9924793,0.9712911,0.99992
10,will_smith_1,1,1.0,1.0,0.9999839,0.9999801,0.9999944
11,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.0013890312,0.0016278604,0.005405005
12,zoe_saldana_3,1,1.0,1.0,0.9998128,0.99957275,0.9999951
13,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,1.0,1.0,0.9878891,0.9614033,0.99919397
14,anna_taylor_joy_3,1,1.0,1.0,0.77680314,0.73691684,0.97841156
15,bruce_willis_1,1,1.0,1.0,0.9691431,0.9389125,0.99892503
16,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,1.0,1.0,0.99726355,0.9862772,0.9999325
17,lee_ji_eun_3,1,1.0,1.0,0.99924326,0.99711156,0.999985
18,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,1.0,1.0,0.99973255,0.999229,0.9999819
19,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.0,0.0,0.13093972,0.18299934,0.8777519
20,arnold_schwarzenegger_1,1,1.0,1.0,0.9999542,0.99961054,0.99999714
21,arnold_schwarzenegger_2,1,1.0,1.0,0.99994123,0.9999044,0.9999943
22,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,1.0,1.0,0.99754757,0.98941493,0.999923
23,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,0.0,0.0,0.12036955,0.18655068,0.90337425
24,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,1.0,1.0,0.99793494,0.9797503,0.9999871
25,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,1.0,1.0,0.999624,0.99907225,0.9999716
