,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.98184353,0.9800445,0.9930114
1,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,0.0,0.0,0.3635249,0.37703812,0.6732847
2,talyor_swift_3,1,1.0,1.0,0.9791932,0.9779196,0.99186
3,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,0.0,0.0,0.4545992,0.45580557,0.7331738
4,will_smith_2,1,1.0,1.0,0.9769802,0.9758346,0.9889352
5,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,0.0,0.0,0.4138812,0.4244691,0.80050254
6,chris_evans_1,1,1.0,1.0,0.9953129,0.9952313,0.997127
7,nile_red_3,1,1.0,1.0,0.9929584,0.99271107,0.9964014
8,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,1.0,1.0,0.9066189,0.9043344,0.949413
9,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.90833074,0.888299,0.97733045
10,will_smith_1,1,1.0,1.0,0.9792901,0.978649,0.98943824
11,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.45149192,0.4531507,0.6595011
12,zoe_saldana_3,1,1.0,1.0,0.97867817,0.97592926,0.9920432
13,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,1.0,1.0,0.9447289,0.94070584,0.9783466
14,anna_taylor_joy_3,1,1.0,1.0,0.989655,0.98941183,0.9944906
15,bruce_willis_1,1,1.0,1.0,0.9755704,0.9750118,0.98672163
16,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,1.0,1.0,0.67945695,0.6731349,0.8941764
17,lee_ji_eun_3,1,1.0,1.0,0.99666804,0.9965503,0.9986903
18,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,0.0,0.0,0.36135325,0.36569417,0.97651243
19,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,1.0,1.0,0.9341169,0.927117,0.9831407
20,arnold_schwarzenegger_1,1,1.0,1.0,0.9793443,0.9781511,0.9924126
21,arnold_schwarzenegger_2,1,1.0,1.0,0.98642933,0.9853583,0.99471766
22,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,1.0,1.0,0.7518833,0.70790505,0.9813959
23,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,0.0,0.0,0.13070652,0.13295645,0.25886568
24,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,1.0,1.0,0.8125208,0.78018606,0.9609485
25,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,1.0,1.0,0.69473773,0.66417366,0.965417
26,a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,1.0,1.0,0.62560964,0.614095,0.9068293
27,salma_hayek_2,1,1.0,1.0,0.9871247,0.98615503,0.99444085
28,usher_2,1,1.0,1.0,0.90688986,0.90573853,0.945037
29,talyor_swift_2,1,1.0,1.0,0.9852228,0.9841411,0.9946984
30,nicole_kidman_3,1,1.0,1.0,0.99646264,0.99621326,0.997844
31,lee_ji_eun_2,1,1.0,1.0,0.99038017,0.98992074,0.99489945
32,chris_evans_3,1,1.0,1.0,0.9633296,0.95762014,0.98613155
33,facd01b213b62c75ffb4b6a9f8222a25_1920x1080_30,0,0.0,0.0,0.44398883,0.44759774,0.9125857
34,c67611cc32af5603f4f501e65b77c886_1080x1920_30,0,0.0,0.0,0.22454053,0.24230173,0.86426276
35,c3089ec3080756f925b5b83fb66af24c_1920x1080_30,0,1.0,1.0,0.5372041,0.53328717,0.8985621
36,b3683f20cd1b116bcef69df7f5425905_1080x1920_30,0,0.0,0.0,0.39259875,0.39526695,0.90101236
37,bruce_willis_3,1,1.0,1.0,0.9769936,0.9763412,0.98520017
38,8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,1.0,1.0,0.95071226,0.94895613,0.97405267
39,will_smith_3,1,1.0,1.0,0.9396214,0.93682307,0.9826272
40,8090e541f25d87d35507d7e12500c95c_1920x1080_30,0,1.0,1.0,0.5465315,0.54540265,0.7749336
41,salma_hayek_1,1,1.0,1.0,0.99304575,0.99290735,0.99531966
42,anna_taylor_joy_2,1,0.0,0.0,0.3889232,0.38975918,0.92337656
43,9c02f633262ef15f81eab1f2fa06faa5_1920x1080_30,0,0.0,0.0,0.35256281,0.3609472,0.700808
44,chris_evans_2,1,1.0,1.0,0.984993,0.98434746,0.99201435
45,nicole_kidman_2,1,1.0,1.0,0.99111664,0.99088675,0.99510396
46,tian_yiming_2,1,1.0,1.0,0.954266,0.9413496,0.99118644
47,salma_hayek_3,1,1.0,1.0,0.98105717,0.9803748,0.98998755
48,92d3da54d22e81729747f7eb610af4f2_1920x1080_30,0,0.0,0.0,0.43210793,0.4330116,0.96075827
49,91154c046bba79ee8b24550a8cb2870b_1920x1080_30,0,1.0,1.0,0.72471523,0.7019142,0.97722965
50,8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30,0,1.0,1.0,0.52352804,0.5223892,0.9493423
51,3e7bd8b1e9bc081457559851a5012d14_1920x1080_30,0,1.0,1.0,0.9614489,0.9561229,0.9908874
52,218522b5c782bfd3a4ed1ed57b0686a0_1920x1080_30,0,0.0,0.0,0.39354423,0.39503038,0.5645491
53,31ce85afe440564f525a418ec16340bc_1920x1080_30,0,1.0,1.0,0.6893764,0.66566795,0.9696537
