,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.6972221,0.6814729,0.92215043
1,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,0.0,0.0,0.03425491,0.05021313,0.28109768
2,talyor_swift_3,1,1.0,1.0,0.93454605,0.9313663,0.9784081
3,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,0.0,0.0,0.026599143,0.031197838,0.11399887
4,will_smith_2,1,0.0,0.0,0.48785228,0.48810756,0.74751824
5,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,0.0,0.0,0.033432256,0.04030396,0.13150187
6,chris_evans_1,1,1.0,1.0,0.9247081,0.9180746,0.96662474
7,nile_red_3,1,1.0,1.0,0.63446516,0.62937677,0.85782087
8,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,0.0,0.0,0.45629328,0.45890722,0.7683343
9,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.75828403,0.7450573,0.9064888
10,will_smith_1,1,1.0,1.0,0.567305,0.5646124,0.8427809
11,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.45832637,0.46439597,0.9111644
12,zoe_saldana_3,1,0.0,0.0,0.28456128,0.30016577,0.7536078
13,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,1.0,1.0,0.5238901,0.52212596,0.856856
14,anna_taylor_joy_3,1,1.0,1.0,0.5027427,0.503385,0.7955002
15,bruce_willis_1,1,1.0,1.0,0.94720656,0.9456504,0.96861625
16,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,0.0,0.0,0.2874374,0.3161495,0.8222628
17,lee_ji_eun_3,1,1.0,1.0,0.5324781,0.5318823,0.71416533
18,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,0.0,0.0,0.37476674,0.39358807,0.8104644
19,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,1.0,1.0,0.76777226,0.75343406,0.9463378
20,arnold_schwarzenegger_1,1,1.0,1.0,0.85666126,0.8286482,0.9799186
21,arnold_schwarzenegger_2,1,1.0,1.0,0.6039115,0.59995747,0.8367712
22,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,0.0,0.0,0.14611368,0.16153687,0.50651544
23,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,0.0,0.0,0.03738028,0.04628597,0.20531261
24,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,0.0,0.0,0.257481,0.2759018,0.6663211
25,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,0.0,0.0,0.06926583,0.087064534,0.58647156
26,a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,0.0,0.0,0.1668082,0.19590959,0.65007794
27,salma_hayek_2,1,1.0,1.0,0.77527356,0.7665951,0.88353086
28,usher_2,1,0.0,0.0,0.25603637,0.26712024,0.55384487
29,talyor_swift_2,1,1.0,1.0,0.7567201,0.7431122,0.93536305
30,nicole_kidman_3,1,0.0,0.0,0.06280214,0.0794668,0.48337507
