,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.99995494,0.9998822,0.9999974
1,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,0.0,0.0,0.0102497535,0.013265243,0.093134895
2,talyor_swift_3,1,1.0,1.0,0.9988431,0.9983425,0.99984264
3,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,1.0,1.0,0.7312646,0.64786005,0.9778342
4,will_smith_2,1,1.0,1.0,0.9994604,0.9993138,0.9999205
5,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,0.0,0.0,0.0064723515,0.008792998,0.057070363
6,chris_evans_1,1,1.0,1.0,0.99993205,0.99992186,0.9999856
7,nile_red_3,1,1.0,1.0,0.993383,0.9898782,0.9995932
8,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,0.0,0.0,0.012555416,0.01473924,0.064570576
9,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.86649793,0.8369982,0.99286014
10,will_smith_1,1,1.0,1.0,0.98709106,0.9805748,0.99919957
11,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.0019142821,0.0027324199,0.026004666
12,zoe_saldana_3,1,1.0,1.0,0.99981195,0.9996539,0.9999715
13,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,0.0,0.0,0.4368293,0.4507541,0.85506916
14,anna_taylor_joy_3,1,1.0,1.0,0.91448545,0.8965705,0.9900766
15,bruce_willis_1,1,1.0,1.0,0.8136989,0.6998998,0.99767846
16,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,0.0,0.0,0.024316153,0.072860405,0.91153264
17,lee_ji_eun_3,1,1.0,1.0,0.9999224,0.9999099,0.99997044
18,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,0.0,0.0,0.29805115,0.32173482,0.9864842
19,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.0,0.0,0.02351561,0.028823107,0.20919867
20,arnold_schwarzenegger_1,1,1.0,1.0,0.94247025,0.8889795,0.99940336
21,arnold_schwarzenegger_2,1,1.0,1.0,0.98357403,0.9223354,0.99972147
22,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,0.0,0.0,0.0025195014,0.0038692309,0.06356213
23,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,0.0,0.0,0.013002744,0.018306546,0.12495854
24,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,0.0,0.0,0.00487147,0.030723559,0.7574248
25,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,0.0,0.0,0.087617606,0.13888419,0.8252374
26,a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,0.0,0.0,0.10250331,0.2066243,0.9704213
27,salma_hayek_2,1,1.0,1.0,0.99372125,0.992525,0.99855727
28,usher_2,1,1.0,1.0,0.9999081,0.99989164,0.999979
29,talyor_swift_2,1,1.0,1.0,0.9074439,0.8692115,0.9971534
30,nicole_kidman_3,1,1.0,1.0,0.99974626,0.99965,0.99997187
31,lee_ji_eun_2,1,1.0,1.0,0.999647,0.9994661,0.99997985
32,chris_evans_3,1,1.0,1.0,0.76617736,0.6913727,0.9870566
33,facd01b213b62c75ffb4b6a9f8222a25_1920x1080_30,0,0.0,0.0,0.03611667,0.1031989,0.9065638
34,c67611cc32af5603f4f501e65b77c886_1080x1920_30,0,0.0,0.0,0.0010149224,0.002591371,0.18353648
35,c3089ec3080756f925b5b83fb66af24c_1920x1080_30,0,0.0,0.0,0.06679089,0.23573327,0.9936744
36,b3683f20cd1b116bcef69df7f5425905_1080x1920_30,0,0.0,0.0,0.07389736,0.14307058,0.857151
37,bruce_willis_3,1,1.0,1.0,0.9988555,0.9986525,0.999683
38,8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,0.0,0.0,0.069672,0.11335956,0.84374076
39,will_smith_3,1,1.0,1.0,0.9216205,0.86350644,0.99908817
40,8090e541f25d87d35507d7e12500c95c_1920x1080_30,0,0.0,0.0,0.21773608,0.2682525,0.9411833
41,salma_hayek_1,1,1.0,1.0,0.9993886,0.99935824,0.99977165
42,anna_taylor_joy_2,1,1.0,1.0,0.72518027,0.68925935,0.96783364
43,9c02f633262ef15f81eab1f2fa06faa5_1920x1080_30,0,0.0,0.0,0.02439645,0.030129962,0.13169041
44,chris_evans_2,1,1.0,1.0,0.9987896,0.99837255,0.9998709
45,nicole_kidman_2,1,1.0,1.0,0.99692106,0.99558604,0.999759
46,tian_yiming_2,1,1.0,1.0,0.99698144,0.99308395,0.99989057
47,salma_hayek_3,1,1.0,1.0,0.99938715,0.9992039,0.99985695
48,92d3da54d22e81729747f7eb610af4f2_1920x1080_30,0,0.0,0.0,0.011957481,0.047456723,0.9848002
49,91154c046bba79ee8b24550a8cb2870b_1920x1080_30,0,0.0,0.0,0.03681166,0.16554527,0.9591568
50,8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30,0,0.0,0.0,0.0025562225,0.009588201,0.8882757
51,3e7bd8b1e9bc081457559851a5012d14_1920x1080_30,0,0.0,0.0,0.24099179,0.3029319,0.9350342
52,218522b5c782bfd3a4ed1ed57b0686a0_1920x1080_30,0,0.0,0.0,0.017365068,0.019616537,0.10091651
53,31ce85afe440564f525a418ec16340bc_1920x1080_30,0,0.0,0.0,0.17572376,0.27446336,0.9348635
54,lucy_liu_1,1,1.0,1.0,0.99897707,0.99870056,0.9998155
55,arnold_schwarzenegger_3,1,1.0,1.0,0.99922407,0.99898195,0.9998907
56,0296bcc0fdd2a47380e798289dcc099f_1080x1920_30,0,0.0,0.0,0.12510067,0.16177312,0.7238985
57,fd3202c6d0436d7ed3b479bc00b045db_1080x1920_30,0,1.0,1.0,0.72518027,0.6892594,0.96783364
58,2326ac1d3e069fbd86e2ca79082e19f9_1920x1080_30,0,0.0,0.0,0.10729818,0.12599927,0.5259063
59,e47c246f3c2f0f66eca1a08aea644c57_1080x1920_30,0,1.0,1.0,0.52368355,0.51147354,0.9857999
60,lee_ji_eun_1,1,1.0,1.0,0.989111,0.98796177,0.99822384
61,d639c8cb4e4b3521296fbd2dc0b63c5e_1920x1080_30,0,0.0,0.0,0.1617511,0.19318035,0.5342758
62,be19ce722a9e52e2613a6d8f775af82d_1920x1080_30,0,0.0,0.0,0.4746097,0.4811346,0.98875904
63,usher_1,1,1.0,1.0,0.99996674,0.99989814,0.9999963
64,f72a8ac49cce8aac59171c3671e22b9b_1920x1080_30,0,0.0,0.0,0.10506525,0.15397634,0.7486258
65,nicole_kidman_1,1,1.0,1.0,0.99997187,0.9999685,0.999992
66,usher_3,1,1.0,1.0,0.9886996,0.9736458,0.99977165
67,lucy_liu_3,1,1.0,1.0,0.87528557,0.7478653,0.9981318
68,ef8bffd0579e4c02b4d8bea44419c813_1920x1080_30,0,0.0,0.0,0.07286734,0.09032196,0.69210815
69,tian_yiming_1,1,1.0,1.0,0.9999565,0.999913,0.99999034
70,anna_taylor_joy_1,1,1.0,1.0,0.9789444,0.9732638,0.9984665
71,tian_yiming_3,1,1.0,1.0,0.99958533,0.9833173,0.99995124
72,db623c6fff8ffffa6615170d6f8cbfd7_1920x1080_30,0,0.0,0.0,0.07209431,0.07796494,0.23714772
73,af5d2889657072d100b0b08f27719568_1920x1080_30,0,0.0,0.0,0.057994734,0.07176741,0.33600157
74,zoe_saldana_2,1,1.0,1.0,0.9997105,0.99943787,0.9999758
75,nile_red_1,1,1.0,1.0,0.99994326,0.9998996,0.9999913
76,fda953f258d38f3368f4c8fdc774756e_1920x1080_30,0,1.0,1.0,0.9198947,0.8024148,0.99831164
77,talyor_swift_1,1,1.0,1.0,0.9912964,0.98803055,0.99883074
78,lucy_liu_2,1,1.0,1.0,0.81306857,0.725721,0.99605054
79,bruce_willis_2,1,1.0,1.0,0.9602005,0.9498445,0.9977551
80,a4ea08e72606fb7ebd4347d79262823f_1920x1080_30,0,0.0,0.0,0.014349665,0.036197923,0.8166086
81,d02c5cdaee1215360fb80240d7a8901f_1080x1920_30,0,0.0,0.0,0.12472001,0.18837436,0.91079366
82,9bd3195d97edad5f200b325825dbb729_1920x1080_30,0,0.0,0.0,0.0006929131,0.0014991262,0.074693315
83,zoe_saldana_1,1,0.0,0.0,0.48052493,0.48133576,0.9898906
