,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.99993324,0.9994896,1.0
1,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,0.0,0.0,0.35468426,0.35256994,0.9999846
2,talyor_swift_3,1,1.0,1.0,0.9999999,1.0,1.0
3,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,0.0,0.0,0.113542564,0.20521046,0.9819147
4,will_smith_2,1,1.0,1.0,0.99995315,0.99965554,0.9999987
5,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,0.0,0.0,0.00042429226,0.0013975357,0.055038407
6,chris_evans_1,1,1.0,1.0,0.99219257,0.9522544,0.999948
7,nile_red_3,1,1.0,1.0,0.9999924,0.9995676,1.0
8,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,0.0,0.0,0.011382059,0.015649706,0.093510814
9,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.99953794,0.9893713,0.9999908
10,will_smith_1,1,1.0,1.0,0.99999905,0.9999827,1.0
11,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.050055604,0.09424879,0.9524897
12,zoe_saldana_3,1,1.0,1.0,0.99799466,0.98759425,0.99999905
13,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,0.0,0.0,0.4873313,0.48317015,0.984107
14,anna_taylor_joy_3,1,0.0,0.0,0.38023034,0.41373673,0.982852
15,bruce_willis_1,1,1.0,1.0,0.99902105,0.99721456,0.9999765
16,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,1.0,1.0,0.8217468,0.7060547,0.99973994
17,lee_ji_eun_3,1,0.0,0.0,0.4455008,0.37308064,0.99993896
18,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,1.0,1.0,0.9999378,0.99911267,1.0
19,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.0,0.0,0.33694962,0.3926218,0.98055214
20,arnold_schwarzenegger_1,1,1.0,1.0,0.9995092,0.97201496,0.99999964
21,arnold_schwarzenegger_2,1,1.0,1.0,0.8079803,0.6857865,0.9997454
22,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,1.0,1.0,0.99901927,0.9950551,0.99999833
23,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,1.0,0.0,0.5681133,0.4996891,0.9999373
24,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,1.0,1.0,0.9913162,0.94156325,0.9999901
25,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,1.0,1.0,0.99961793,0.99688524,0.9999976
