,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.99963844,0.9992857,0.9999378
1,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,0.0,0.0,0.020225858,0.029064676,0.34546283
2,talyor_swift_3,1,1.0,1.0,0.99600714,0.9944385,0.99965024
3,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,1.0,1.0,0.7500029,0.69031465,0.98259324
4,will_smith_2,1,1.0,1.0,0.9994727,0.99921083,0.9999299
5,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,0.0,0.0,0.030103408,0.036365476,0.2801813
6,chris_evans_1,1,1.0,1.0,0.9992459,0.9989065,0.99988365
7,nile_red_3,1,1.0,1.0,0.9827204,0.97829473,0.9962006
8,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,0.0,0.0,0.01597547,0.018211916,0.071347326
9,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.9399488,0.9158814,0.99608
10,will_smith_1,1,1.0,1.0,0.95868325,0.94487035,0.9957182
11,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.011753437,0.014726946,0.16369821
12,zoe_saldana_3,1,1.0,1.0,0.99985623,0.9995391,0.99998987
13,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,1.0,1.0,0.8500488,0.8054193,0.98571825
14,anna_taylor_joy_3,1,1.0,1.0,0.7423067,0.73340714,0.9352149
15,bruce_willis_1,1,1.0,1.0,0.87475157,0.84189636,0.98446053
16,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,0.0,0.0,0.058920808,0.0875518,0.64567775
17,lee_ji_eun_3,1,1.0,1.0,0.99972373,0.9996507,0.99992526
18,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,0.0,0.0,0.4703512,0.47068623,0.6076607
19,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.0,0.0,0.17941806,0.21214661,0.79065615
20,arnold_schwarzenegger_1,1,1.0,1.0,0.93048954,0.88640773,0.9994647
21,arnold_schwarzenegger_2,1,1.0,1.0,0.9373518,0.8701039,0.9982498
22,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,0.0,0.0,0.13907611,0.1590651,0.7157445
23,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,0.0,0.0,0.017645175,0.02186761,0.08958822
24,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,0.0,0.0,0.083534144,0.13538235,0.818602
25,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,0.0,0.0,0.32472524,0.34221324,0.7612483
26,a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,0.0,0.0,0.31850055,0.3350496,0.8095962
27,salma_hayek_2,1,1.0,1.0,0.9972349,0.9965793,0.99930143
28,usher_2,1,1.0,1.0,0.9996474,0.9995505,0.99991536
29,talyor_swift_2,1,1.0,1.0,0.97824484,0.96513575,0.9990676
30,nicole_kidman_3,1,1.0,1.0,0.9995235,0.99928504,0.99984133
31,lee_ji_eun_2,1,1.0,1.0,0.999079,0.9982465,0.9999788
32,chris_evans_3,1,1.0,1.0,0.9971878,0.9940906,0.9999114
33,facd01b213b62c75ffb4b6a9f8222a25_1920x1080_30,0,0.0,0.0,0.46265265,0.44503722,0.99410385
34,c67611cc32af5603f4f501e65b77c886_1080x1920_30,0,0.0,0.0,0.015956733,0.02104401,0.2915488
35,c3089ec3080756f925b5b83fb66af24c_1920x1080_30,0,0.0,0.0,0.1426515,0.25922745,0.99376595
36,b3683f20cd1b116bcef69df7f5425905_1080x1920_30,0,0.0,0.0,0.28515372,0.3018811,0.8249298
37,bruce_willis_3,1,1.0,1.0,0.9659932,0.96155024,0.98909175
38,8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,0.0,0.0,0.10933263,0.13304034,0.6305901
39,will_smith_3,1,1.0,1.0,0.98665226,0.967934,0.9990369
40,8090e541f25d87d35507d7e12500c95c_1920x1080_30,0,0.0,0.0,0.17469145,0.20707437,0.55301404
41,salma_hayek_1,1,1.0,1.0,0.998254,0.99801326,0.9993142
42,anna_taylor_joy_2,1,0.0,0.0,0.41097227,0.42039365,0.9630423
43,9c02f633262ef15f81eab1f2fa06faa5_1920x1080_30,0,0.0,0.0,0.3721255,0.37887943,0.80703783
44,chris_evans_2,1,1.0,1.0,0.99559045,0.9935961,0.99913305
45,nicole_kidman_2,1,1.0,1.0,0.9995409,0.99926615,0.9999585
46,tian_yiming_2,1,1.0,1.0,0.9981645,0.9927808,0.99998784
47,salma_hayek_3,1,1.0,1.0,0.98445153,0.98130333,0.99521905
48,92d3da54d22e81729747f7eb610af4f2_1920x1080_30,0,0.0,0.0,0.07144662,0.110319495,0.9313974
49,91154c046bba79ee8b24550a8cb2870b_1920x1080_30,0,0.0,0.0,0.07377596,0.13257733,0.77183574
50,8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30,0,0.0,0.0,0.019779399,0.037706643,0.75484717
51,3e7bd8b1e9bc081457559851a5012d14_1920x1080_30,0,0.0,0.0,0.45791334,0.4704004,0.8874116
52,218522b5c782bfd3a4ed1ed57b0686a0_1920x1080_30,0,0.0,0.0,0.1264241,0.1349341,0.5608119
53,31ce85afe440564f525a418ec16340bc_1920x1080_30,0,1.0,1.0,0.65625,0.60001785,0.98898983
54,lucy_liu_1,1,1.0,1.0,0.9996481,0.9995481,0.999936
55,arnold_schwarzenegger_3,1,1.0,1.0,0.9999012,0.99982846,0.9999902
56,0296bcc0fdd2a47380e798289dcc099f_1080x1920_30,0,0.0,0.0,0.42430225,0.42625532,0.8778894
57,fd3202c6d0436d7ed3b479bc00b045db_1080x1920_30,0,0.0,0.0,0.41097227,0.42039365,0.9630423
58,2326ac1d3e069fbd86e2ca79082e19f9_1920x1080_30,0,0.0,0.0,0.18170714,0.20811352,0.66026694
