,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.610795,0.610795,0.6108697
1,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,1.0,1.0,0.6098208,0.60981995,0.6104828
2,talyor_swift_3,1,1.0,1.0,0.6102915,0.61029136,0.61081624
3,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,1.0,1.0,0.59649026,0.59633887,0.60968155
4,will_smith_2,1,1.0,1.0,0.61055434,0.61055434,0.6108036
5,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,1.0,1.0,0.6093711,0.60937047,0.6104416
6,chris_evans_1,1,1.0,1.0,0.6097509,0.60975087,0.6105686
7,nile_red_3,1,1.0,1.0,0.61045194,0.6104519,0.61082727
8,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,1.0,1.0,0.55469865,0.55441296,0.60678947
9,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.531457,0.53106165,0.6099104
10,will_smith_1,1,1.0,1.0,0.61025834,0.6102582,0.6108132
11,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.47185788,0.47212493,0.6055071
12,zoe_saldana_3,1,1.0,1.0,0.6106608,0.6106608,0.6108389
13,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,1.0,1.0,0.5612298,0.5607847,0.6101518
14,anna_taylor_joy_3,1,1.0,1.0,0.61011714,0.6101171,0.6103719
15,bruce_willis_1,1,1.0,1.0,0.5889249,0.5884953,0.6102012
16,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,0.0,0.0,0.41043296,0.41073427,0.61032903
17,lee_ji_eun_3,1,1.0,1.0,0.6107619,0.6107619,0.6108253
18,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,1.0,1.0,0.56611615,0.56564903,0.6098106
19,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,1.0,1.0,0.53398633,0.5335825,0.6102397
20,arnold_schwarzenegger_1,1,1.0,1.0,0.604355,0.604233,0.6107651
21,arnold_schwarzenegger_2,1,1.0,1.0,0.57643497,0.57578945,0.6108287
22,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,0.0,0.0,0.44786614,0.4483557,0.6088933
23,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,1.0,1.0,0.6036332,0.60355645,0.6105809
24,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,1.0,1.0,0.5552024,0.55461925,0.610761
