,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,e47c246f3c2f0f66eca1a08aea644c57_1080x1920_30,0,1.0,1.0,0.9616515,0.9379441,0.99673116
1,bruce_willis_2,1,1.0,1.0,0.9998691,0.99969256,0.99996793
2,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,0.0,0.0,0.38801005,0.41113234,0.996469
3,salma_hayek_2,1,1.0,1.0,0.9999734,0.99997216,0.9999833
4,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.0,0.0,0.13488561,0.17665714,0.6816214
5,talyor_swift_1,1,1.0,1.0,0.9966185,0.98150873,0.9998735
6,zoe_saldana_3,1,1.0,1.0,0.9103468,0.84907424,0.99824476
7,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,0.0,0.0,0.009768966,0.018225646,0.4126768
8,9bd3195d97edad5f200b325825dbb729_1920x1080_30,0,0.0,0.0,0.14801537,0.19587526,0.970911
9,91154c046bba79ee8b24550a8cb2870b_1920x1080_30,0,0.0,0.0,0.00095361075,0.0017772164,0.035822313
10,will_smith_2,1,1.0,1.0,0.9998641,0.99979687,0.99996626
11,d02c5cdaee1215360fb80240d7a8901f_1080x1920_30,0,0.0,0.0,0.21315283,0.30896196,0.9711878
12,db623c6fff8ffffa6615170d6f8cbfd7_1920x1080_30,0,0.0,0.0,0.0018511713,0.002107581,0.0069777076
13,8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30,0,0.0,0.0,0.0020741147,0.0512456,0.9882166
14,a4ea08e72606fb7ebd4347d79262823f_1920x1080_30,0,0.0,0.0,0.0024892052,0.0030269835,0.06869355
15,arnold_schwarzenegger_3,1,1.0,1.0,0.989115,0.9697032,0.9996284
16,lucy_liu_3,1,1.0,1.0,0.8376822,0.7161565,0.99971956
17,3e7bd8b1e9bc081457559851a5012d14_1920x1080_30,0,0.0,0.0,0.014993191,0.01971623,0.082438
18,31ce85afe440564f525a418ec16340bc_1920x1080_30,0,0.0,0.0,0.0021908423,0.002754546,0.03549167
19,8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,0.0,0.0,0.013427408,0.018185701,0.11480682
20,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,0.0,0.0,0.026177447,0.03487344,0.23176558
21,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,1.0,1.0,0.8892161,0.7913771,0.9984263
22,af5d2889657072d100b0b08f27719568_1920x1080_30,0,0.0,0.0,0.0057053175,0.0071912683,0.06143127
23,zoe_saldana_1,1,1.0,1.0,0.9991872,0.9972821,0.99988794
24,salma_hayek_3,1,1.0,1.0,0.9995815,0.99944043,0.99992645
25,usher_1,1,1.0,1.0,0.99926823,0.9974593,0.9999416
26,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,0.0,0.0,0.0056346986,0.0064806114,0.03071092
27,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,0.0,0.0,0.42286628,0.44557968,0.9941468
28,d639c8cb4e4b3521296fbd2dc0b63c5e_1920x1080_30,0,0.0,0.0,0.006983678,0.008030773,0.03139977
29,lucy_liu_1,1,1.0,1.0,0.9999734,0.99997216,0.9999864
30,0296bcc0fdd2a47380e798289dcc099f_1080x1920_30,0,0.0,0.0,0.0021025224,0.0026891571,0.023487106
31,chris_evans_1,1,1.0,1.0,0.9693142,0.9541739,0.99756086
32,f72a8ac49cce8aac59171c3671e22b9b_1920x1080_30,0,0.0,0.0,0.014580919,0.03391251,0.6881417
33,talyor_swift_2,1,1.0,1.0,0.99997663,0.9999758,0.99998724
34,chris_evans_2,1,1.0,1.0,0.9993799,0.99704456,0.9999187
35,bruce_willis_3,1,1.0,1.0,0.99997365,0.99997336,0.99998105
36,ef8bffd0579e4c02b4d8bea44419c813_1920x1080_30,0,0.0,0.0,0.030112492,0.037758276,0.40281132
