,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.9997867,0.9996825,0.999962
1,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,0.0,0.0,0.013843089,0.018169591,0.14293075
2,talyor_swift_3,1,1.0,1.0,0.99999523,0.99999475,0.9999981
3,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,0.0,0.0,0.07132246,0.12275412,0.98060215
4,will_smith_2,1,1.0,1.0,0.99999154,0.99998987,0.99999714
5,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,0.0,0.0,0.00922244,0.015164311,0.129927
6,chris_evans_1,1,1.0,1.0,0.9999949,0.9999944,0.99999774
7,nile_red_3,1,1.0,1.0,0.9999938,0.9999931,0.99999726
8,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,0.0,0.0,0.034275003,0.05146288,0.35208344
9,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.9998274,0.99879193,0.99999285
10,will_smith_1,1,1.0,1.0,0.99996555,0.9999522,0.99999344
11,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.0013048048,0.0015161323,0.0073907604
12,zoe_saldana_3,1,1.0,1.0,0.99937564,0.9969732,0.999995
13,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,1.0,1.0,0.99809235,0.9966918,0.9998548
14,anna_taylor_joy_3,1,1.0,1.0,0.9910177,0.9833739,0.99947256
15,bruce_willis_1,1,1.0,1.0,0.9996834,0.9995159,0.9999696
16,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,1.0,1.0,0.74559,0.67265165,0.99734277
17,lee_ji_eun_3,1,1.0,1.0,0.9998729,0.999737,0.9999912
18,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,1.0,1.0,0.9858348,0.95042706,0.9999428
19,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.0,0.0,0.27556446,0.31629416,0.94081134
20,arnold_schwarzenegger_1,1,1.0,1.0,0.9999889,0.99997354,0.99999654
21,arnold_schwarzenegger_2,1,1.0,1.0,0.9999087,0.9998431,0.9999949
22,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,1.0,1.0,0.90689254,0.8418824,0.99927133
23,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,0.0,0.0,0.0019939248,0.011631299,0.40794656
24,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,1.0,1.0,0.98614395,0.94930506,0.99985564
25,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,1.0,1.0,0.99986196,0.99959755,0.9999896
26,a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,1.0,1.0,0.9960765,0.987224,0.9999651
27,salma_hayek_2,1,1.0,1.0,0.99998164,0.99997723,0.9999951
28,usher_2,1,1.0,1.0,0.9978435,0.9963041,0.9999268
29,talyor_swift_2,1,1.0,1.0,0.99999356,0.9999933,0.9999969
30,nicole_kidman_3,1,1.0,1.0,0.99994934,0.9998911,0.9999902
31,lee_ji_eun_2,1,1.0,1.0,0.99999154,0.9999807,0.99999845
32,chris_evans_3,1,1.0,1.0,0.99999356,0.9999931,0.99999774
33,facd01b213b62c75ffb4b6a9f8222a25_1920x1080_30,0,0.0,0.0,0.07843505,0.13176648,0.9330377
34,c67611cc32af5603f4f501e65b77c886_1080x1920_30,0,0.0,0.0,0.42371035,0.4345912,0.90989316
35,c3089ec3080756f925b5b83fb66af24c_1920x1080_30,0,0.0,0.0,0.32594168,0.34801793,0.9970402
