,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,e47c246f3c2f0f66eca1a08aea644c57_1080x1920_30,0,0.0,0.0,0.05462221,0.07034728,0.533153
1,bruce_willis_2,1,1.0,1.0,0.99996674,0.99996305,0.9999876
2,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,0.0,0.0,0.040636998,0.10535619,0.98272425
3,salma_hayek_2,1,1.0,1.0,0.99999714,0.999997,0.9999981
4,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.0,0.0,0.25617138,0.3187045,0.9686656
5,talyor_swift_1,1,1.0,1.0,0.9999821,0.9999767,0.99999547
6,zoe_saldana_3,1,1.0,1.0,0.952269,0.852782,0.99959356
7,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,0.0,0.0,0.0207701,0.033412077,0.38165554
8,9bd3195d97edad5f200b325825dbb729_1920x1080_30,0,0.0,0.0,0.011674063,0.020029537,0.41025937
9,91154c046bba79ee8b24550a8cb2870b_1920x1080_30,0,0.0,0.0,0.015698388,0.06519592,0.9153376
10,will_smith_2,1,1.0,1.0,0.99995697,0.99994856,0.9999814
11,d02c5cdaee1215360fb80240d7a8901f_1080x1920_30,0,0.0,0.0,0.0051671895,0.01958304,0.839219
12,db623c6fff8ffffa6615170d6f8cbfd7_1920x1080_30,0,0.0,0.0,0.0015146335,0.0016432325,0.0060670096
13,8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30,0,0.0,0.0,0.0016551749,0.0025732466,0.028161991
14,a4ea08e72606fb7ebd4347d79262823f_1920x1080_30,0,0.0,0.0,0.0027051754,0.004079212,0.065973535
15,arnold_schwarzenegger_3,1,1.0,1.0,0.9999566,0.9999261,0.9999871
16,lucy_liu_3,1,1.0,1.0,0.96619654,0.8456645,0.99949086
17,3e7bd8b1e9bc081457559851a5012d14_1920x1080_30,0,0.0,0.0,0.14930296,0.1952877,0.75039935
18,31ce85afe440564f525a418ec16340bc_1920x1080_30,0,0.0,0.0,0.015119817,0.052053545,0.94078994
19,8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,0.0,0.0,0.045260035,0.057633117,0.30784625
20,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,0.0,0.0,0.008877034,0.012859736,0.21697894
21,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,1.0,1.0,0.9709109,0.8910835,0.9999043
22,af5d2889657072d100b0b08f27719568_1920x1080_30,0,0.0,0.0,0.11525193,0.18527906,0.81519544
23,zoe_saldana_1,1,1.0,1.0,0.9999254,0.99989396,0.9999831
24,salma_hayek_3,1,1.0,1.0,0.9999876,0.9999851,0.9999969
25,usher_1,1,1.0,1.0,0.9988218,0.99720806,0.99985623
26,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,0.0,0.0,0.0009515986,0.0010969347,0.003937391
27,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.9921036,0.9828195,0.9994783
28,d639c8cb4e4b3521296fbd2dc0b63c5e_1920x1080_30,0,0.0,0.0,0.0073127993,0.008357159,0.028871788
29,lucy_liu_1,1,1.0,1.0,0.9999943,0.9999938,0.9999976
30,0296bcc0fdd2a47380e798289dcc099f_1080x1920_30,0,0.0,0.0,0.037181057,0.10272877,0.9995491
31,chris_evans_1,1,1.0,1.0,0.9999924,0.999992,0.9999957
32,f72a8ac49cce8aac59171c3671e22b9b_1920x1080_30,0,1.0,1.0,0.6285366,0.58514065,0.9971097
33,talyor_swift_2,1,1.0,1.0,0.9999856,0.99998313,0.9999939
34,chris_evans_2,1,1.0,1.0,0.99999166,0.99999094,0.99999666
35,bruce_willis_3,1,1.0,1.0,0.99999297,0.99999297,0.99999535
36,ef8bffd0579e4c02b4d8bea44419c813_1920x1080_30,0,0.0,0.0,0.022896715,0.06854582,0.8615905
37,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,0.0,0.0,0.006000194,0.007761463,0.05265216
38,a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,0.0,0.0,0.24771866,0.28969508,0.96692723
39,92d3da54d22e81729747f7eb610af4f2_1920x1080_30,0,0.0,0.0,0.00041416765,0.0006807,0.03535845
40,usher_2,1,1.0,1.0,0.995514,0.9948252,0.99920565
41,will_smith_3,1,1.0,1.0,0.96649075,0.92599964,0.9983463
42,talyor_swift_3,1,1.0,1.0,0.99997973,0.99997616,0.9999956
43,nicole_kidman_2,1,1.0,1.0,0.999979,0.9999708,0.9999918
44,nile_red_3,1,1.0,1.0,0.9999796,0.9999704,0.99999416
45,tian_yiming_2,1,1.0,1.0,0.99955827,0.9963218,0.9999908
46,c3089ec3080756f925b5b83fb66af24c_1920x1080_30,0,0.0,0.0,0.015149969,0.07086986,0.9693012
47,nile_red_2,1,1.0,1.0,0.8778634,0.80469686,0.9981007
