,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.84653765,0.842484,0.93735474
1,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,1.0,1.0,0.6665282,0.66196823,0.836912
2,talyor_swift_3,1,1.0,1.0,0.9530691,0.9517023,0.97191644
3,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,1.0,1.0,0.630303,0.62512314,0.8497173
4,will_smith_2,1,1.0,1.0,0.67401385,0.67127466,0.83323854
5,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,1.0,1.0,0.8613979,0.8554615,0.9509439
6,chris_evans_1,1,1.0,1.0,0.90767294,0.90615696,0.939126
7,nile_red_3,1,1.0,1.0,0.72499835,0.7219366,0.8249962
8,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,1.0,1.0,0.8634384,0.8618729,0.9152044
9,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.8485128,0.84086967,0.94085777
10,will_smith_1,1,1.0,1.0,0.68937284,0.68719006,0.79434
11,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,1.0,1.0,0.625403,0.62389874,0.76509345
12,zoe_saldana_3,1,1.0,1.0,0.7100848,0.7002789,0.8761786
13,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,1.0,1.0,0.7374751,0.7340028,0.8399897
14,anna_taylor_joy_3,1,1.0,1.0,0.7861506,0.7796614,0.8922001
15,bruce_willis_1,1,1.0,1.0,0.9250374,0.9240766,0.9567766
16,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,1.0,1.0,0.74393386,0.7313781,0.894621
17,lee_ji_eun_3,1,1.0,1.0,0.8278212,0.82552916,0.8974449
18,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,0.0,0.0,0.3784506,0.38032916,0.6129927
19,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,1.0,1.0,0.9139885,0.91122913,0.9610422
20,arnold_schwarzenegger_1,1,1.0,1.0,0.74913013,0.7431071,0.8612089
21,arnold_schwarzenegger_2,1,1.0,1.0,0.7095515,0.7032603,0.82698864
22,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,1.0,1.0,0.7000687,0.6955586,0.84856397
23,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,0.0,0.0,0.36080953,0.36248899,0.501701
24,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,0.0,0.0,0.42011768,0.42457563,0.7193593
25,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,1.0,1.0,0.71474916,0.7117615,0.8288112
26,a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,1.0,1.0,0.6261425,0.62281144,0.8092507
27,salma_hayek_2,1,1.0,1.0,0.8701201,0.86344224,0.92850417
28,usher_2,1,0.0,0.0,0.47384506,0.47401625,0.64699167
29,talyor_swift_2,1,1.0,1.0,0.8532586,0.8497318,0.9232849
30,nicole_kidman_3,1,1.0,1.0,0.76010925,0.7584442,0.84187573
31,lee_ji_eun_2,1,1.0,1.0,0.8646378,0.86052406,0.9332209
32,chris_evans_3,1,1.0,1.0,0.73647267,0.73385286,0.81590956
33,facd01b213b62c75ffb4b6a9f8222a25_1920x1080_30,0,1.0,1.0,0.6638964,0.6610463,0.78870887
34,c67611cc32af5603f4f501e65b77c886_1080x1920_30,0,1.0,1.0,0.5022554,0.502302,0.74692416
35,c3089ec3080756f925b5b83fb66af24c_1920x1080_30,0,1.0,1.0,0.7620457,0.75503045,0.9131421
36,b3683f20cd1b116bcef69df7f5425905_1080x1920_30,0,1.0,1.0,0.5261907,0.5243775,0.8436875
37,bruce_willis_3,1,0.0,0.0,0.44073537,0.44168553,0.61658037
38,8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,1.0,1.0,0.8372581,0.835199,0.8932077
39,will_smith_3,1,1.0,1.0,0.6539508,0.65069467,0.8106573
40,8090e541f25d87d35507d7e12500c95c_1920x1080_30,0,1.0,1.0,0.6867541,0.68330866,0.84200966
41,salma_hayek_1,1,1.0,1.0,0.622805,0.6212628,0.7327548
