,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.95176375,0.9113404,0.9974853
1,will_smith_2,1,1.0,1.0,0.99993324,,0.99998534
2,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,1.0,1.0,0.99993944,,0.9999969
3,chris_evans_1,1,1.0,1.0,0.9999697,,0.9999913
4,will_smith_1,1,1.0,1.0,0.9998709,,0.99998176
5,zoe_saldana_3,1,1.0,1.0,0.9993253,,0.99986243
6,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,1.0,1.0,0.9999436,,0.99999297
7,bruce_willis_1,1,1.0,1.0,0.99999046,,0.9999981
8,arnold_schwarzenegger_1,1,1.0,1.0,0.9985549,,0.9997944
9,arnold_schwarzenegger_2,1,1.0,1.0,0.9935133,,0.9997701
10,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,1.0,1.0,0.9993556,,0.99992394
11,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,1.0,1.0,0.89468396,,0.9532408
12,a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,1.0,1.0,0.9983364,,0.99991107
13,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,1.0,1.0,0.9856455,,0.99786216
14,salma_hayek_2,1,1.0,1.0,0.99944955,,0.99989796
15,usher_2,1,1.0,1.0,0.99961483,,0.99996245
16,talyor_swift_2,1,1.0,1.0,0.9384195,,0.9789533
17,nicole_kidman_3,1,1.0,1.0,0.99033815,,0.9988148
18,lee_ji_eun_2,1,1.0,1.0,0.99147815,,0.9993368
19,chris_evans_3,1,1.0,1.0,0.9981261,,0.99984276
20,8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,1.0,1.0,0.99770087,,0.9996712
21,8090e541f25d87d35507d7e12500c95c_1920x1080_30,0,1.0,1.0,0.99553853,,0.999949
22,salma_hayek_1,1,1.0,1.0,0.99998915,,0.9999974
23,chris_evans_2,1,1.0,1.0,0.9996195,,0.9999876
24,nicole_kidman_2,1,1.0,1.0,0.9771418,,0.99541193
25,92d3da54d22e81729747f7eb610af4f2_1920x1080_30,0,1.0,1.0,0.9450164,,0.9909586
26,31ce85afe440564f525a418ec16340bc_1920x1080_30,0,1.0,1.0,0.9553862,,0.9915023
