,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,bruce_willis_2,1,1.0,1.0,0.53578156,0.5355384,0.64983314
1,salma_hayek_2,1,1.0,1.0,0.6504619,,0.93726844
2,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,1.0,1.0,0.5082972,,0.6235941
3,91154c046bba79ee8b24550a8cb2870b_1920x1080_30,0,1.0,1.0,0.5108756,,0.62659496
4,will_smith_2,1,1.0,1.0,0.52088654,,0.7650791
5,db623c6fff8ffffa6615170d6f8cbfd7_1920x1080_30,0,1.0,1.0,0.5122238,,0.6428843
6,8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30,0,0.0,0.0,0.49771535,,0.5201504
7,a4ea08e72606fb7ebd4347d79262823f_1920x1080_30,0,0.0,0.0,0.47468653,,0.54755837
8,lucy_liu_3,1,1.0,1.0,0.5695237,,0.82525676
9,3e7bd8b1e9bc081457559851a5012d14_1920x1080_30,0,1.0,1.0,0.50412136,,0.59784526
10,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,0.0,0.0,0.4937697,,0.6201485
11,af5d2889657072d100b0b08f27719568_1920x1080_30,0,1.0,1.0,0.5054564,,0.57308567
12,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,0.0,0.0,0.4969855,,0.5731361
13,salma_hayek_3,1,1.0,1.0,0.5227235,,0.76628274
14,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.50511223,,0.5998187
15,lucy_liu_1,1,1.0,1.0,0.9766679,,0.99995685
16,0296bcc0fdd2a47380e798289dcc099f_1080x1920_30,0,0.0,0.0,0.4757668,,0.51038903
17,f72a8ac49cce8aac59171c3671e22b9b_1920x1080_30,0,1.0,1.0,0.5019375,,0.5295181
18,chris_evans_2,1,1.0,1.0,0.560484,,0.7804914
19,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,0.0,0.0,0.49293998,,0.51515895
20,a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,1.0,1.0,0.555335,,0.80547374
21,nicole_kidman_2,1,1.0,1.0,0.54150945,,0.8554201
22,tian_yiming_2,1,1.0,1.0,0.8863238,,0.994628
23,c3089ec3080756f925b5b83fb66af24c_1920x1080_30,0,1.0,1.0,0.67884463,,0.8747981
24,bruce_willis_1,1,1.0,1.0,0.5415043,,0.79157525
25,usher_3,1,1.0,1.0,0.54596984,,0.92002285
26,anna_taylor_joy_2,1,1.0,1.0,0.50607544,,0.9540841
27,lee_ji_eun_1,1,1.0,1.0,0.6940359,,0.9129048
28,chris_evans_3,1,1.0,1.0,0.5162317,,0.71208113
29,nile_red_1,1,1.0,1.0,0.8568934,,0.99813783
30,anna_taylor_joy_3,1,0.0,0.0,0.49862158,,0.5736946
31,nicole_kidman_1,1,1.0,1.0,0.5129532,,0.6904723
32,2326ac1d3e069fbd86e2ca79082e19f9_1920x1080_30,0,1.0,1.0,0.5035055,,0.63077515
33,tian_yiming_1,1,1.0,1.0,0.6158434,,0.889771
34,lee_ji_eun_2,1,1.0,1.0,0.7228877,,0.9911118
35,fd3202c6d0436d7ed3b479bc00b045db_1080x1920_30,0,1.0,1.0,0.51978856,,0.90668875
36,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.49704415,,0.6686988
37,salma_hayek_1,1,1.0,1.0,0.5424046,,0.8673225
38,9c02f633262ef15f81eab1f2fa06faa5_1920x1080_30,0,1.0,1.0,0.50074035,,0.57611406
39,arnold_schwarzenegger_2,1,1.0,1.0,0.52281624,,0.7599722
40,c67611cc32af5603f4f501e65b77c886_1080x1920_30,0,0.0,0.0,0.4988572,,0.57411927
41,e47c246f3c2f0f66eca1a08aea644c57_1080x1920_30,0,1.0,1.0,0.5007011,,0.5397446
42,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,1.0,1.0,0.5399536,,0.66257554
43,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.0,0.0,0.48047173,,0.49411035
44,talyor_swift_1,1,1.0,1.0,0.5190536,,0.60817456
45,zoe_saldana_3,1,1.0,1.0,0.53386766,,0.8943999
46,9bd3195d97edad5f200b325825dbb729_1920x1080_30,0,0.0,0.0,0.49293825,,0.5172766
47,d02c5cdaee1215360fb80240d7a8901f_1080x1920_30,0,1.0,1.0,0.51022935,,0.6750128
48,arnold_schwarzenegger_3,1,1.0,1.0,0.53014785,,0.7406346
49,31ce85afe440564f525a418ec16340bc_1920x1080_30,0,1.0,1.0,0.52603984,,0.64855087
50,8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,0.0,0.0,0.49511006,,0.52575207
51,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,1.0,1.0,0.8768013,,0.99645245
52,zoe_saldana_1,1,0.0,0.0,0.49558097,,0.64200747
53,usher_1,1,1.0,1.0,0.525573,,0.7162896
54,d639c8cb4e4b3521296fbd2dc0b63c5e_1920x1080_30,0,1.0,1.0,0.5104187,,0.5437421
55,chris_evans_1,1,1.0,1.0,0.5317828,,0.89114934
56,talyor_swift_2,1,1.0,1.0,0.6533708,,0.813806
57,bruce_willis_3,1,1.0,1.0,0.51495814,,0.71184903
58,ef8bffd0579e4c02b4d8bea44419c813_1920x1080_30,0,1.0,1.0,0.5129913,,0.5937019
59,92d3da54d22e81729747f7eb610af4f2_1920x1080_30,0,1.0,1.0,0.5206598,,0.73506427
60,usher_2,1,1.0,1.0,0.6168356,,0.9626711
61,will_smith_3,1,1.0,1.0,0.54371357,,0.9619981
62,talyor_swift_3,1,1.0,1.0,0.5340725,,0.69898266
63,nile_red_3,1,1.0,1.0,0.9512373,,0.99946135
64,b3683f20cd1b116bcef69df7f5425905_1080x1920_30,0,1.0,1.0,0.72028697,,0.93315953
65,nile_red_2,1,1.0,1.0,0.57484066,,0.87841934
66,zoe_saldana_2,1,1.0,1.0,0.517439,,0.6594681
67,be19ce722a9e52e2613a6d8f775af82d_1920x1080_30,0,1.0,1.0,0.5129831,,0.6939339
68,218522b5c782bfd3a4ed1ed57b0686a0_1920x1080_30,0,0.0,0.0,0.4993194,,0.51640856
69,tian_yiming_3,1,1.0,1.0,0.57239187,,0.8833432
70,facd01b213b62c75ffb4b6a9f8222a25_1920x1080_30,0,1.0,1.0,0.5222327,,0.71265465
71,nicole_kidman_3,1,1.0,1.0,0.5299237,,0.6459873
72,arnold_schwarzenegger_1,1,1.0,1.0,0.9845756,,0.99997985
73,8090e541f25d87d35507d7e12500c95c_1920x1080_30,0,1.0,1.0,0.5133972,,0.55084044
74,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,1.0,1.0,0.5783063,,0.6722367
75,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,1.0,1.0,0.5021319,,0.71330684
76,lee_ji_eun_3,1,1.0,1.0,0.5391639,,0.7588026
77,fda953f258d38f3368f4c8fdc774756e_1920x1080_30,0,0.0,0.0,0.49407774,,0.552909
78,lucy_liu_2,1,1.0,1.0,0.71338946,,0.93117785
79,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,1.0,1.0,0.52659893,,0.777861
80,will_smith_1,1,1.0,1.0,0.72183305,,0.96674114
81,anna_taylor_joy_1,1,1.0,1.0,0.5094003,,0.6602469
82,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,1.0,1.0,0.52239394,,0.66382366
83,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,1.0,1.0,0.5066398,,0.6388433
