,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.9994173,0.9993227,0.9998611
1,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,0.0,0.0,0.08830219,0.104178816,0.64569694
2,talyor_swift_3,1,1.0,1.0,0.98906976,0.9858164,0.9984627
3,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,1.0,1.0,0.95115924,0.8708093,0.99576354
4,will_smith_2,1,1.0,1.0,0.99816906,0.99691504,0.99983084
5,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,0.0,0.0,0.28814045,0.30443135,0.8277493
6,chris_evans_1,1,1.0,1.0,0.99910045,0.9989551,0.9997402
7,nile_red_3,1,1.0,1.0,0.989312,0.9875464,0.9992004
8,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,1.0,1.0,0.72857374,0.7140365,0.9227241
9,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.9257759,0.9049415,0.9913777
10,will_smith_1,1,1.0,1.0,0.9923017,0.9912065,0.99846244
11,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.14641719,0.16233675,0.57093436
12,zoe_saldana_3,1,1.0,1.0,0.9989808,0.99881566,0.99974424
13,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,1.0,1.0,0.8939119,0.8734973,0.97223806
14,anna_taylor_joy_3,1,1.0,1.0,0.9887444,0.9882061,0.99523145
15,bruce_willis_1,1,1.0,1.0,0.9885406,0.9864464,0.9979067
16,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,0.0,0.0,0.22691055,0.24132022,0.8048115
17,lee_ji_eun_3,1,1.0,1.0,0.99975723,0.99934304,0.99995804
18,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,0.0,0.0,0.45415992,0.4546967,0.7365998
19,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.0,0.0,0.14286643,0.15223569,0.4640403
20,arnold_schwarzenegger_1,1,1.0,1.0,0.99555886,0.99413043,0.9993618
21,arnold_schwarzenegger_2,1,1.0,1.0,0.99728966,0.9939748,0.9997999
22,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,0.0,0.0,0.17013524,0.19934566,0.84342515
23,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,1.0,1.0,0.9318732,0.8834778,0.9958495
24,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,0.0,0.0,0.31042352,0.34009483,0.989249
25,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,1.0,1.0,0.73348546,0.70316994,0.9658341
26,a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,0.0,0.0,0.24154253,0.27356613,0.8752614
27,salma_hayek_2,1,1.0,1.0,0.99344397,0.9904964,0.998321
28,usher_2,1,1.0,1.0,0.99898857,0.99874115,0.99978167
29,talyor_swift_2,1,1.0,1.0,0.9397312,0.9166759,0.9913448
30,nicole_kidman_3,1,1.0,1.0,0.9999629,0.9998311,0.9999945
31,lee_ji_eun_2,1,1.0,1.0,0.99679995,0.9943417,0.99972886
32,chris_evans_3,1,1.0,1.0,0.99245423,0.9894145,0.9990042
33,facd01b213b62c75ffb4b6a9f8222a25_1920x1080_30,0,0.0,0.0,0.4798129,0.477441,0.9465726
34,c67611cc32af5603f4f501e65b77c886_1080x1920_30,0,0.0,0.0,0.08650598,0.10433201,0.8552456
35,c3089ec3080756f925b5b83fb66af24c_1920x1080_30,0,0.0,0.0,0.366911,0.37225425,0.9966023
36,b3683f20cd1b116bcef69df7f5425905_1080x1920_30,0,1.0,1.0,0.6907688,0.61374444,0.99233454
37,bruce_willis_3,1,1.0,1.0,0.99868804,0.9986106,0.9993826
38,8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,0.0,0.0,0.44275564,0.44309086,0.9300272
39,will_smith_3,1,1.0,1.0,0.8951856,0.86282814,0.9964115
40,8090e541f25d87d35507d7e12500c95c_1920x1080_30,0,0.0,0.0,0.48915505,0.4886254,0.9115545
41,salma_hayek_1,1,1.0,1.0,0.9995926,0.9995682,0.99983525
42,anna_taylor_joy_2,1,1.0,1.0,0.7381561,0.7059085,0.9771643
43,9c02f633262ef15f81eab1f2fa06faa5_1920x1080_30,0,1.0,1.0,0.9143801,0.8949119,0.99337864
44,chris_evans_2,1,1.0,1.0,0.9974631,0.9968928,0.9993728
45,nicole_kidman_2,1,1.0,1.0,0.99388546,0.99246323,0.9991891
46,tian_yiming_2,1,1.0,1.0,0.99458635,0.9896983,0.99988425
47,salma_hayek_3,1,1.0,1.0,0.9973821,0.9972676,0.9986727
48,92d3da54d22e81729747f7eb610af4f2_1920x1080_30,0,0.0,0.0,0.16761471,0.19669837,0.9463489
49,91154c046bba79ee8b24550a8cb2870b_1920x1080_30,0,0.0,0.0,0.19056906,0.23988849,0.8949255
50,8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30,0,0.0,0.0,0.33840704,0.35191265,0.9678526
51,3e7bd8b1e9bc081457559851a5012d14_1920x1080_30,0,1.0,1.0,0.79601496,0.75719136,0.98496455
52,218522b5c782bfd3a4ed1ed57b0686a0_1920x1080_30,0,1.0,1.0,0.8140141,0.7959907,0.9732159
53,31ce85afe440564f525a418ec16340bc_1920x1080_30,0,1.0,1.0,0.6472396,0.61447084,0.9781803
54,lucy_liu_1,1,1.0,1.0,0.9979284,0.9975604,0.99943906
55,arnold_schwarzenegger_3,1,1.0,1.0,0.99924433,0.9990544,0.9998349
56,0296bcc0fdd2a47380e798289dcc099f_1080x1920_30,0,1.0,1.0,0.75338966,0.73965245,0.9390996
57,fd3202c6d0436d7ed3b479bc00b045db_1080x1920_30,0,1.0,1.0,0.7381561,0.7059085,0.9771643
58,2326ac1d3e069fbd86e2ca79082e19f9_1920x1080_30,0,1.0,1.0,0.88125986,0.85763305,0.9799785
59,e47c246f3c2f0f66eca1a08aea644c57_1080x1920_30,0,1.0,1.0,0.8983364,0.88101715,0.9791621
60,lee_ji_eun_1,1,1.0,1.0,0.996968,0.9957185,0.9992207
61,d639c8cb4e4b3521296fbd2dc0b63c5e_1920x1080_30,0,1.0,1.0,0.5069275,0.50464,0.8856477
62,be19ce722a9e52e2613a6d8f775af82d_1920x1080_30,0,1.0,1.0,0.858087,0.81588364,0.97661126
63,usher_1,1,1.0,1.0,0.99959224,0.99949837,0.9998896
64,f72a8ac49cce8aac59171c3671e22b9b_1920x1080_30,0,0.0,0.0,0.3876389,0.4048134,0.90153843
65,nicole_kidman_1,1,1.0,1.0,0.9998252,0.99980915,0.9999523
66,usher_3,1,1.0,1.0,0.97003955,0.9606526,0.995414
67,lucy_liu_3,1,1.0,1.0,0.97396165,0.94167066,0.99805045
68,ef8bffd0579e4c02b4d8bea44419c813_1920x1080_30,0,1.0,1.0,0.9923849,0.98194116,0.99941254
69,tian_yiming_1,1,1.0,1.0,0.9992243,0.99890757,0.9998117
70,anna_taylor_joy_1,1,1.0,1.0,0.9645224,0.9610872,0.99025035
71,tian_yiming_3,1,1.0,1.0,0.9991033,0.9874194,0.9997526
72,db623c6fff8ffffa6615170d6f8cbfd7_1920x1080_30,0,0.0,0.0,0.41532063,0.41781947,0.6287058
73,af5d2889657072d100b0b08f27719568_1920x1080_30,0,1.0,1.0,0.9486821,0.9353157,0.99554175
