,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.7897335,0.78931415,0.8257824
1,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,0.0,0.0,0.33833763,0.33983973,0.6277328
2,talyor_swift_3,1,1.0,1.0,0.66616,0.665849,0.73851526
3,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,1.0,1.0,0.58049,0.57901096,0.6526372
4,will_smith_2,1,1.0,1.0,0.7085696,0.7084347,0.7380718
5,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,0.0,0.0,0.30754426,0.30796432,0.5777927
6,chris_evans_1,1,1.0,1.0,0.7684058,0.76798815,0.808556
7,nile_red_3,1,1.0,1.0,0.69564825,0.6953662,0.7427068
8,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,0.0,0.0,0.2981936,0.29831725,0.3310536
9,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.6844973,0.6841289,0.7414827
10,will_smith_1,1,1.0,1.0,0.6671888,0.6670031,0.6990729
11,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.27490166,0.27501416,0.30692977
12,zoe_saldana_3,1,1.0,1.0,0.7037112,0.7033984,0.74822927
13,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,1.0,1.0,0.58582264,0.58533204,0.64537096
14,anna_taylor_joy_3,1,1.0,1.0,0.6381776,0.63765967,0.6933931
15,bruce_willis_1,1,1.0,1.0,0.5509771,0.5495663,0.7055338
16,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,0.0,0.0,0.3914557,0.39273506,0.5904463
17,lee_ji_eun_3,1,1.0,1.0,0.73184973,0.7314141,0.7707477
18,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,1.0,1.0,0.5563006,0.5557457,0.63013375
19,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.0,0.0,0.423329,0.42484942,0.6148727
20,arnold_schwarzenegger_1,1,1.0,1.0,0.65623856,0.6556839,0.7350496
21,arnold_schwarzenegger_2,1,1.0,1.0,0.62493837,0.622266,0.7060541
22,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,0.0,0.0,0.31869718,0.31941062,0.58483016
23,c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,0.0,0.0,0.44307408,0.4441947,0.6133372
24,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,0.0,0.0,0.31752223,0.3197254,0.6476827
25,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,1.0,1.0,0.5209521,0.52079713,0.66737616
26,a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,0.0,0.0,0.46835265,0.46973008,0.63453996
27,salma_hayek_2,1,1.0,1.0,0.6891756,0.68892384,0.7206491
28,usher_2,1,1.0,1.0,0.7150789,0.7149291,0.74366295
29,talyor_swift_2,1,1.0,1.0,0.54883534,0.5476381,0.68442994
30,nicole_kidman_3,1,1.0,1.0,0.73215926,0.73187757,0.7590882
31,lee_ji_eun_2,1,1.0,1.0,0.66670406,0.6664574,0.7313831
32,chris_evans_3,1,1.0,1.0,0.65456724,0.6544392,0.6965858
33,facd01b213b62c75ffb4b6a9f8222a25_1920x1080_30,0,1.0,1.0,0.54288787,0.542434,0.68057775
34,c67611cc32af5603f4f501e65b77c886_1080x1920_30,0,0.0,0.0,0.2799117,0.28023374,0.36291093
35,c3089ec3080756f925b5b83fb66af24c_1920x1080_30,0,0.0,0.0,0.4419662,0.44741482,0.6742596
36,b3683f20cd1b116bcef69df7f5425905_1080x1920_30,0,0.0,0.0,0.4560437,0.45749885,0.64329994
37,bruce_willis_3,1,1.0,1.0,0.7205875,0.72045124,0.7451518
38,8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,0.0,0.0,0.32430342,0.32460248,0.3986677
39,will_smith_3,1,1.0,1.0,0.6442359,0.64393425,0.69755906
40,8090e541f25d87d35507d7e12500c95c_1920x1080_30,0,1.0,1.0,0.58431137,0.58318996,0.6673252
41,salma_hayek_1,1,1.0,1.0,0.69236726,0.6923113,0.7119085
42,anna_taylor_joy_2,1,1.0,1.0,0.62295216,0.62282974,0.6667036
43,9c02f633262ef15f81eab1f2fa06faa5_1920x1080_30,0,1.0,1.0,0.5229164,0.5228665,0.61533976
44,chris_evans_2,1,1.0,1.0,0.7222329,0.72191143,0.7533198
45,nicole_kidman_2,1,1.0,1.0,0.73434806,0.73395336,0.77873594
46,tian_yiming_2,1,1.0,1.0,0.70655346,0.70605415,0.7510497
47,salma_hayek_3,1,1.0,1.0,0.70397776,0.7038775,0.7275425
48,92d3da54d22e81729747f7eb610af4f2_1920x1080_30,0,0.0,0.0,0.35769004,0.3598463,0.62134993
49,91154c046bba79ee8b24550a8cb2870b_1920x1080_30,0,0.0,0.0,0.32807255,0.33144644,0.6398563
50,8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30,0,0.0,0.0,0.29378328,0.29545462,0.6202767
51,3e7bd8b1e9bc081457559851a5012d14_1920x1080_30,0,0.0,0.0,0.49769738,0.49823612,0.6555579
52,218522b5c782bfd3a4ed1ed57b0686a0_1920x1080_30,0,1.0,1.0,0.5612608,0.56115764,0.601987
53,31ce85afe440564f525a418ec16340bc_1920x1080_30,0,1.0,1.0,0.5981771,0.5974565,0.66216385
54,lucy_liu_1,1,1.0,1.0,0.67918813,0.6791025,0.7083354
55,arnold_schwarzenegger_3,1,1.0,1.0,0.69394004,0.6938389,0.72603637
56,0296bcc0fdd2a47380e798289dcc099f_1080x1920_30,0,1.0,1.0,0.58781135,0.5877179,0.61750597
57,fd3202c6d0436d7ed3b479bc00b045db_1080x1920_30,0,1.0,1.0,0.62295216,0.62282974,0.6667036
58,2326ac1d3e069fbd86e2ca79082e19f9_1920x1080_30,0,1.0,1.0,0.66006815,0.6598466,0.7101335
59,e47c246f3c2f0f66eca1a08aea644c57_1080x1920_30,0,1.0,1.0,0.58959574,0.589067,0.64326984
60,lee_ji_eun_1,1,1.0,1.0,0.7257396,0.72545385,0.7614106
61,d639c8cb4e4b3521296fbd2dc0b63c5e_1920x1080_30,0,1.0,1.0,0.5059649,0.5062437,0.63781667
62,be19ce722a9e52e2613a6d8f775af82d_1920x1080_30,0,1.0,1.0,0.59342825,0.5928942,0.6791841
63,usher_1,1,1.0,1.0,0.74688095,0.7463211,0.7948075
64,f72a8ac49cce8aac59171c3671e22b9b_1920x1080_30,0,0.0,0.0,0.4242427,0.42611817,0.60595614
65,nicole_kidman_1,1,1.0,1.0,0.75994617,0.7597284,0.7948926
66,usher_3,1,1.0,1.0,0.67059726,0.6701945,0.74766415
67,lucy_liu_3,1,1.0,1.0,0.64779156,0.64745456,0.6984523
68,ef8bffd0579e4c02b4d8bea44419c813_1920x1080_30,0,1.0,1.0,0.5905732,0.5901299,0.6410527
69,tian_yiming_1,1,1.0,1.0,0.7616352,0.7613582,0.78717536
70,anna_taylor_joy_1,1,1.0,1.0,0.69566315,0.69559133,0.7255857
71,tian_yiming_3,1,1.0,1.0,0.73652637,0.7360636,0.7745745
72,db623c6fff8ffffa6615170d6f8cbfd7_1920x1080_30,0,0.0,0.0,0.3997144,0.40119237,0.58186555
73,af5d2889657072d100b0b08f27719568_1920x1080_30,0,1.0,1.0,0.5302343,0.53002596,0.63825655
74,zoe_saldana_2,1,1.0,1.0,0.67395777,0.6738574,0.7012418
75,nile_red_1,1,1.0,1.0,0.758432,0.757913,0.80962956
76,fda953f258d38f3368f4c8fdc774756e_1920x1080_30,0,1.0,1.0,0.64367676,0.6431632,0.725873
77,talyor_swift_1,1,1.0,1.0,0.64824784,0.648084,0.6856956
78,lucy_liu_2,1,1.0,1.0,0.65040314,0.6501495,0.69648457
79,bruce_willis_2,1,1.0,1.0,0.6722102,0.6721463,0.69968563
80,a4ea08e72606fb7ebd4347d79262823f_1920x1080_30,0,0.0,0.0,0.35304135,0.35596955,0.5907544
81,d02c5cdaee1215360fb80240d7a8901f_1080x1920_30,0,0.0,0.0,0.41984907,0.42242348,0.647242
82,9bd3195d97edad5f200b325825dbb729_1920x1080_30,0,0.0,0.0,0.25799307,0.2584566,0.5356817
83,zoe_saldana_1,1,1.0,1.0,0.6454221,0.6449355,0.6957849
