,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,e47c246f3c2f0f66eca1a08aea644c57_1080x1920_30,0,1.0,1.0,0.5596791,0.5580292,0.79473996
1,bruce_willis_2,1,1.0,1.0,0.5688101,0.5668911,0.83073103
2,ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,0.0,0.0,0.3151463,0.31898698,0.8482331
3,salma_hayek_2,1,1.0,1.0,0.964594,0.95984685,0.98476887
4,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.0,0.0,0.48952156,0.48878264,0.81233513
5,talyor_swift_1,1,1.0,1.0,0.70204586,0.69246095,0.897498
6,zoe_saldana_3,1,1.0,1.0,0.9519523,0.9430754,0.99302727
7,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,0.0,0.0,0.4348992,0.43630314,0.7749342
8,9bd3195d97edad5f200b325825dbb729_1920x1080_30,0,1.0,1.0,0.8238222,0.81741047,0.9252312
9,91154c046bba79ee8b24550a8cb2870b_1920x1080_30,0,1.0,1.0,0.59858495,0.57651097,0.97969615
10,will_smith_2,1,1.0,1.0,0.8571398,0.84657466,0.9573949
11,d02c5cdaee1215360fb80240d7a8901f_1080x1920_30,0,1.0,1.0,0.5431421,0.5409066,0.8157003
12,db623c6fff8ffffa6615170d6f8cbfd7_1920x1080_30,0,0.0,0.0,0.3252612,0.32768983,0.64879197
13,8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30,0,0.0,0.0,0.31097624,0.31469202,0.7984459
14,a4ea08e72606fb7ebd4347d79262823f_1920x1080_30,0,1.0,1.0,0.547062,0.54222035,0.8987287
15,arnold_schwarzenegger_3,1,1.0,1.0,0.7925374,0.77762693,0.9395813
16,lucy_liu_3,1,1.0,1.0,0.6816528,0.6710133,0.9144752
17,3e7bd8b1e9bc081457559851a5012d14_1920x1080_30,0,1.0,1.0,0.7924809,0.7843051,0.9365388
18,31ce85afe440564f525a418ec16340bc_1920x1080_30,0,0.0,0.0,0.33085105,0.3329954,0.6045455
19,8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,0.0,0.0,0.25892186,0.25981992,0.34933606
20,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,0.0,0.0,0.370744,0.37243313,0.60359555
21,eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,1.0,1.0,0.7918251,0.7654493,0.97415346
22,af5d2889657072d100b0b08f27719568_1920x1080_30,0,0.0,0.0,0.40797868,0.40908372,0.73614305
23,zoe_saldana_1,1,1.0,1.0,0.8198828,0.807272,0.947472
