,video_name,label,class_log,class_mean,raw_pred_log,raw_pred_mean,max_pred
0,nile_red_2,1,1.0,1.0,0.99921453,0.99919087,0.9996197
1,dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0,0.0,0.0,0.0068067196,0.008576516,0.29271907
2,talyor_swift_3,1,1.0,1.0,0.9989042,0.9987434,0.99940073
3,70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0,0.0,0.0,0.24539109,0.34748203,0.98874474
4,will_smith_2,1,1.0,1.0,0.99921274,0.99917746,0.9996798
5,08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0,0.0,0.0,0.003382137,0.0037723994,0.03651624
6,chris_evans_1,1,1.0,1.0,0.9994524,0.99944234,0.99963474
7,nile_red_3,1,1.0,1.0,0.9992231,0.999084,0.9996315
8,f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0,0.0,0.0,0.003092081,0.0032040037,0.008414959
9,1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0,1.0,1.0,0.9951159,0.98742235,0.99906844
10,will_smith_1,1,1.0,1.0,0.9957883,0.95837843,0.99974674
11,bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0,0.0,0.0,0.0055019665,0.006017048,0.03127845
12,zoe_saldana_3,1,1.0,1.0,0.9994185,0.99940467,0.9997476
13,6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0,1.0,1.0,0.9604203,0.84833294,0.99912184
14,anna_taylor_joy_3,1,1.0,1.0,0.9972583,0.994241,0.99936813
15,bruce_willis_1,1,1.0,1.0,0.99916947,0.9991572,0.9994307
16,4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0,0.0,0.0,0.0065040197,0.041212693,0.98361903
17,lee_ji_eun_3,1,1.0,1.0,0.99957484,0.99956894,0.9997336
18,e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0,0.0,0.0,0.021816652,0.04492063,0.74838984
19,c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.0,0.0,0.024907215,0.041435003,0.34038714
20,arnold_schwarzenegger_1,1,1.0,1.0,0.993856,0.9688418,0.99986184
21,arnold_schwarzenegger_2,1,1.0,1.0,0.883757,0.69056094,0.99926573
22,29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,0.0,0.0,0.0102124475,0.017417561,0.29170352
